gruppe,datum,lehrkraft_id,id,mtr_rueckkopplung_datenmaske_values_id,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
LK_1,2025-09-01,1,0,62,7,5,kognition,1.8188876471567,1,3.5729304536374,1.8188876471567,1.5,0.14020651573357,1.3816714752841,1.1247637776873,1.4920627396242,1.3369596277788
LK_1,2025-09-01,1,0,181,7,4,motivation,1.6294014575425,1,3.4965039781999,1.5494794089229,1.0667700541619,1.2143728958767,1.6294014575425,1.0783884285835,1.5747230009845,0.95620631122221
LK_1,2025-09-01,1,0,248,11,6,motivation,2.069379885315,1,4.5339339963113,1.5683794462265,1.5614971628556,1.7428047151058,2.069379885315,1.3906573823153,1.676434026833,1.8958928292239
LK_1,2025-09-01,1,0,375,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-01,1,0,1183,8,7,regulation,2.3371925602628,1,4.7275916595967,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628
LK_1,2025-09-01,1,0,250,8,7,regulation,2.3371925602628,1,4.7275916595967,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628
LK_1,2025-09-01,1,0,377,5,5,performanz,1.7604404508269,1,3.1211655051097,1.142816140348,0.63138282916163,0.81095667845437,1.5108717263958,0.80238847845301,1.7604404508269,1.1634599879125
LK_1,2025-09-01,1,0,1182,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-01,1,0,1184,2,2,regulation,1.093651904426,1,1.6032426194262,0.38532339625734,0.397,0.353,0.68310328427165,0.361,0.58878620228737,1.093651904426
LK_1,2025-09-02,1,0,597,8,4,kognition,1.9988088236145,1,3.4148756521686,1.9988088236145,0.56638355152076,0.89991269496936,1.1504321402777,1.4565930020033,1.3513275390163,1.1243942457347
LK_1,2025-09-02,1,0,646,7,4,motivation,1.1072793378206,1,2.1979164244121,0.42616534321614,0.795,0.92752683729634,1.1072793378206,0.49701404885009,0.98239075680094,0.84776563935454
LK_1,2025-09-02,1,0,866,8,4,kognition,1.752927244018,1,3.2645506643148,1.752927244018,0.397,0.63433190518851,0.8822146372641,1.3812460852249,1.4446608439128,1.5004541922468
LK_1,2025-09-02,1,0,458,11,6,motivation,1.8055393584743,1,2.9163877508142,0.59657591963787,0.795,1.0295986767418,1.8055393584743,0.5721813301263,0.98507068886581,1.378255469226
LK_1,2025-09-02,1,0,2572,8,3,kognition,2.1046227351488,1,3.4246644235568,2.1046227351488,1.0,0.52154960746563,1.0,1.7098425479452,1.2050166077111,0.807
LK_1,2025-09-02,1,0,596,7,4,motivation,1.1072793378206,1,2.1979164244121,0.42616534321614,0.795,0.92752683729634,1.1072793378206,0.49701404885009,0.98239075680094,0.84776563935454
LK_1,2025-09-02,1,0,647,8,4,kognition,1.9988088236145,1,3.4148756521686,1.9988088236145,0.56638355152076,0.89991269496936,1.1504321402777,1.4565930020033,1.3513275390163,1.1243942457347
LK_1,2025-09-02,1,0,736,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-02,1,0,865,11,6,performanz,2.1839343719722,1,4.6687650182457,1.9397461854947,0.795,1.0844387503441,2.0390133560675,1.8030223901748,2.1839343719722,2.0121343348373
LK_1,2025-09-02,1,0,457,4,3,kognition,1.1445707517198,1,2.5532415782961,1.1445707517198,0.83209190615359,1.0582176518976,1.0466564857278,0.92081749463506,0.86021364709414,0.84465178398232
LK_1,2025-09-03,1,0,3865,10,5,performanz,1.5787926947118,1,2.9265661869219,0.83874379722431,0.795,0.74859199099376,1.5275935061726,0.6259977036912,1.5787926947118,1.2045256751392
LK_1,2025-09-03,1,0,2565,10,7,kognition,1.7321985779759,1,3.5552809886409,1.7321985779759,0.70774699502078,0.87417333677424,1.4578119300514,1.3886523318041,1.4957247421928,1.4434897770781
LK_1,2025-09-03,1,0,2569,9,3,kognition,1.4857859574845,1,2.1457730143001,1.4857859574845,0.41604032112312,0.71810051766828,0.52332115864544,0.93650177698582,0.73301176933059,0.14077339167562
LK_1,2025-09-03,1,0,2933,7,5,kognition,1.5987188600177,1,3.2698876076559,1.5987188600177,0.62702809870591,0.82668298924815,1.3354645895672,1.5281905507102,1.3240163232508,1.0898819745936
LK_1,2025-09-03,1,0,1459,8,4,kognition,1.6662193362077,1,3.0045876008173,1.6662193362077,0.397,0.63433190518851,0.75783453883015,1.3009004167714,1.2546430285366,1.3603270184177
LK_1,2025-09-03,1,0,1180,11,6,motivation,2.069379885315,1,4.5339339963113,1.5683794462265,1.5614971628556,1.7428047151058,2.069379885315,1.3906573823153,1.676434026833,1.8958928292239
LK_1,2025-09-03,1,0,3867,7,4,motivation,1.6294014575425,1,3.4965039781999,1.5494794089229,1.0667700541619,1.2143728958767,1.6294014575425,1.0783884285835,1.5747230009845,0.95620631122221
LK_1,2025-09-03,1,0,2567,7,5,regulation,1.9183136827603,1,3.3410156724873,1.1675276842023,0.397,0.353,1.3281840722827,1.4468331613926,1.4070253438338,1.9183136827603
LK_1,2025-09-03,1,0,2932,6,4,performanz,1.4780206620485,1,3.1813676431278,1.3901781638681,1.0,0.14947056594351,1.3684649877052,1.2462230879908,1.4780206620485,1.2473370908871
LK_1,2025-09-03,1,0,2934,11,6,performanz,2.3430856296886,1,4.6290043360953,2.1052768272758,0.94686856057371,0.66009931164733,1.9082046730985,1.8878673572624,2.3430856296886,1.7227480810552
LK_1,2025-09-03,1,0,1329,6,3,performanz,-1.4194643312794,-1,2.4005173344309,-0.50744515670893,-0.397,-0.62832554778904,-0.90237387710037,-0.61083143950705,-1.4194643312794,-1.3229921551142
LK_1,2025-09-03,1,0,1458,10,7,kognition,1.7321985779759,1,3.5552809886409,1.7321985779759,0.70774699502078,0.87417333677424,1.4578119300514,1.3886523318041,1.4957247421928,1.4434897770781
LK_1,2025-09-03,1,0,1462,8,6,kognition,2.1824077376028,1,4.3850337175204,2.1824077376028,0.72133904050026,0.31839975553264,1.7387211397127,2.0449010422766,1.8961662783706,1.7446176444573
LK_1,2025-09-03,1,0,333,10,6,kognition,2.0147192487341,1,3.821655576211,2.0147192487341,-0.8,0.07047060182071,1.105389491274,1.830562020145,1.5787476000353,1.683954977014
LK_1,2025-09-04,1,0,3272,11,7,kognition,2.1296197107404,1,3.4996579219887,2.1296197107404,0.60502627306551,0.72403920535512,1.2693488546353,1.4317814377558,1.3629189690952,1.1415967676848
LK_1,2025-09-04,1,0,3794,11,4,kognition,2.0311230831007,1,3.8229300313861,2.0311230831007,0.795,1.1914013414792,1.309239540005,1.5922099905934,1.6023228558313,1.273260196548
LK_1,2025-09-04,1,0,861,10,5,performanz,1.5787926947118,1,2.9265661869219,0.83874379722431,0.795,0.74859199099376,1.5275935061726,0.6259977036912,1.5787926947118,1.2045256751392
LK_1,2025-09-04,1,0,176,8,4,kognition,1.9988088236145,1,3.7004722196336,1.9988088236145,0.84957532728114,1.1248914487549,1.4336482104165,1.4565930020033,1.4581116164264,1.186591368602
LK_1,2025-09-04,1,0,863,15,5,motivation,1.8282533754185,1,3.5141486703425,1.370492198116,1.5,0.93434231534506,1.8282533754185,0.89917889255743,1.3552848622822,1.1662616800903
LK_1,2025-09-04,1,0,534,7,6,regulation,2.3161582895164,1,4.9388259433378,2.094954492435,0.68161393388963,0.7570630234271,2.1679619843137,2.0238816651912,2.1919580321433,2.3161582895164
LK_1,2025-09-04,1,0,3270,7,5,performanz,-1.777984289271,-1,2.8520922568652,-0.7346152553616,-0.3611912461844,-0.60954622456698,-1.2453982754006,-0.59009838758833,-1.777984289271,-1.4255889476832
LK_1,2025-09-04,1,0,3793,11,6,performanz,2.1839343719722,1,4.6687650182457,1.9397461854947,0.795,1.0844387503441,2.0390133560675,1.8030223901748,2.1839343719722,2.0121343348373
LK_1,2025-09-04,1,0,3797,15,5,motivation,1.7915442913418,1,3.3533597644884,1.3891367762386,1.0,0.99308444862189,1.7915442913418,0.96140687615182,1.3415786229858,1.1812436979273
LK_1,2025-09-04,1,0,862,8,3,kognition,2.2776056467846,1,3.6414353147212,2.2776056467846,1.0,0.60359888258827,1.0,1.8404889327139,1.2921236575999,0.807
LK_1,2025-09-04,1,0,177,7,4,performanz,1.6732477030024,1,2.8337499062294,0.59820450148807,0.795,1.0571912207702,1.3283784911684,0.62685974786836,1.6732477030024,0.98250251566195
LK_1,2025-09-04,1,0,533,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-04,1,0,536,11,6,motivation,1.8457267716643,1,4.093711306297,1.5561498720739,1.2842999343478,1.4502649614538,1.8457267716643,1.2922587126344,1.5677140698423,1.7463698790241
LK_1,2025-09-05,1,0,1455,10,5,motivation,1.376852504409,1,2.4862506965683,0.62692950024605,0.795,0.74859199099376,1.376852504409,0.45507923752819,1.2707328728139,0.93723262509945
LK_1,2025-09-05,1,0,55,11,6,motivation,2.0475006287815,1,4.1958668984378,1.5202983953402,1.1932675457736,1.3956249818128,2.0475006287815,1.4978313274088,1.9115239295312,1.3537555353449
LK_1,2025-09-05,1,0,1324,5,4,performanz,1.7164060286624,1,3.4484593132687,1.1080388053562,0.58349749219582,0.55046933226021,1.6249044399904,1.3351822456517,1.7164060286624,1.6283611726224
LK_1,2025-09-05,1,0,1326,12,6,regulation,1.9735549821712,1,4.1508586304112,1.581926910348,0.795,1.1199548059827,1.7947035040314,1.4394830774208,1.9112350424048,1.9735549821712
LK_1,2025-09-05,1,0,54,11,4,kognition,2.1090557744311,1,4.0923704304351,2.1090557744311,0.795,1.1914013414792,1.432935356007,1.6756363063999,1.8044236805378,1.4597642751672
LK_1,2025-09-05,1,0,57,7,6,kognition,1.5129679549924,1,2.744584432155,1.5129679549924,-0.397,-0.23814073229467,0.92589647599241,1.3418832717268,1.2475848714798,0.90274506549483
LK_1,2025-09-05,1,0,1323,8,4,kognition,1.752927244018,1,3.2645506643148,1.752927244018,0.397,0.63433190518851,0.8822146372641,1.3812460852249,1.4446608439128,1.5004541922468
LK_1,2025-09-05,1,0,1325,8,4,motivation,1.6075723274489,1,3.178534159656,1.2352945869255,1.3187637503219,1.4375836916752,1.6075723274489,0.7652268111687,1.1702759247533,0.48159670608376
LK_1,2025-09-08,1,0,48,9,7,performanz,2.1659452350244,1,4.4608733210844,1.9647173009529,0.65587279346505,0.96367130509822,1.8981146802954,1.6821906615382,2.1659452350244,1.8858742498315
LK_1,2025-09-08,1,0,51,11,5,kognition,1.2989459196837,1,2.1876422905769,1.2989459196837,0.795,0.91921434591718,0.85842510256492,0.76348167871671,0.53442805710879,0.12699211331042
LK_1,2025-09-08,1,0,171,12,6,regulation,1.6547937848958,1,3.414990033546,1.2246722505097,1.0,-0.14062248630245,1.5420600652216,1.5704684184992,1.2489585083626,1.6547937848958
LK_1,2025-09-08,1,0,243,10,4,kognition,1.8475873540776,1,3.0085001511033,1.8475873540776,0.71676731274779,1.0424941465143,1.112390975663,1.1383091496832,1.1713810784546,0.36283559383087
LK_1,2025-09-08,1,0,50,8,6,kognition,2.1824077376028,1,4.3850337175204,2.1824077376028,0.72133904050026,0.31839975553264,1.7387211397127,2.0449010422766,1.8961662783706,1.7446176444573
LK_1,2025-09-08,1,0,172,8,5,performanz,1.8299730814541,1,3.7387250035768,1.6130793669856,0.795,1.1341657221223,1.6386343733869,1.46312550294,1.8299730814541,1.1327057857595
LK_1,2025-09-08,1,0,245,5,5,performanz,1.7604404508269,1,3.1211655051097,1.142816140348,0.63138282916163,0.81095667845437,1.5108717263958,0.80238847845301,1.7604404508269,1.1634599879125
LK_1,2025-09-09,1,0,2562,7,3,kognition,1.4758361358457,1,2.8006523873511,1.4758361358457,0.795,1.0959210821659,1.0,1.1280372124712,0.95329770997955,0.807
LK_1,2025-09-09,1,0,591,6,3,performanz,-1.4194643312794,-1,2.4005173344309,-0.50744515670893,-0.397,-0.62832554778904,-0.90237387710037,-0.61083143950705,-1.4194643312794,-1.3229921551142
LK_1,2025-09-09,1,0,593,7,6,methodik,1.8077742395697,1,3.8347774989791,1.5536560911458,0.72381105657853,0.91886794042449,1.5161553505408,1.8077742395697,1.4489022866436,1.8048151969357
LK_1,2025-09-09,1,0,640,10,5,motivation,1.376852504409,1,2.4862506965683,0.62692950024605,0.795,0.74859199099376,1.376852504409,0.45507923752819,1.2707328728139,0.93723262509945
LK_1,2025-09-09,1,0,642,14,6,performanz,1.5145743675692,1,3.388604145656,1.4887849741361,0.67971953081179,0.93915953786173,1.3582808568662,1.2365024169229,1.5145743675692,1.5014384604562
LK_1,2025-09-09,1,0,729,10,6,kognition,2.119877304837,1,4.2474282510106,2.119877304837,1.0,0.060290439960986,1.6327096288526,1.7740900157151,1.8649750733539,1.803292511638
LK_1,2025-09-09,1,0,453,14,7,performanz,1.7488094998557,1,3.3852427938085,1.5323009249167,0.28252759647857,0.77093926464114,1.2367973235904,1.2876520863718,1.7488094998557,1.480440229807
LK_1,2025-09-09,1,0,2564,11,6,kognition,2.2596734740893,1,4.3234541329808,2.2596734740893,0.795,1.1753891036704,1.6135774350173,2.0109955127659,1.7804347749997,1.3247202747255
LK_1,2025-09-09,1,0,590,10,5,motivation,1.376852504409,1,2.4862506965683,0.62692950024605,0.795,0.74859199099376,1.376852504409,0.45507923752819,1.2707328728139,0.93723262509945
LK_1,2025-09-09,1,0,592,14,6,performanz,1.5145743675692,1,3.388604145656,1.4887849741361,0.67971953081179,0.93915953786173,1.3582808568662,1.2365024169229,1.5145743675692,1.5014384604562
LK_1,2025-09-09,1,0,641,6,3,performanz,-1.4194643312794,-1,2.4005173344309,-0.50744515670893,-0.397,-0.62832554778904,-0.90237387710037,-0.61083143950705,-1.4194643312794,-1.3229921551142
LK_1,2025-09-09,1,0,643,7,6,methodik,1.8077742395697,1,3.8347774989791,1.5536560911458,0.72381105657853,0.91886794042449,1.5161553505408,1.8077742395697,1.4489022866436,1.8048151969357
LK_1,2025-09-09,1,0,728,5,5,motivation,1.7894757538358,1,3.6479410450167,1.3968161491097,1.0,0.205237305182,1.7894757538358,1.2567212470503,1.7731799223395,1.545482888525
LK_1,2025-09-10,1,0,3860,11,4,kognition,2.1090557744311,1,4.0923704304351,2.1090557744311,0.795,1.1914013414792,1.432935356007,1.6756363063999,1.8044236805378,1.4597642751672
LK_1,2025-09-10,1,0,2556,7,5,performanz,-1.777984289271,-1,2.8520922568652,-0.7346152553616,-0.3611912461844,-0.60954622456698,-1.2453982754006,-0.59009838758833,-1.777984289271,-1.4255889476832
LK_1,2025-09-10,1,0,3678,7,6,regulation,2.0350838924874,1,4.0552227842615,1.9405938150278,0.17330435379828,0.15409681836472,1.6126629758047,1.5143761923744,1.8946143859821,2.0350838924874
LK_1,2025-09-10,1,0,2925,14,7,performanz,1.7488094998557,1,3.3852427938085,1.5323009249167,0.28252759647857,0.77093926464114,1.2367973235904,1.2876520863718,1.7488094998557,1.480440229807
LK_1,2025-09-10,1,0,1450,11,4,kognition,2.0311230831007,1,3.8229300313861,2.0311230831007,0.795,1.1914013414792,1.309239540005,1.5922099905934,1.6023228558313,1.273260196548
LK_1,2025-09-10,1,0,326,11,6,regulation,1.9917313171295,1,4.3981983724756,1.9044794683468,0.795,0.88463756798977,1.9328874046295,1.7721633122278,1.8598086159005,1.9917313171295
LK_1,2025-09-10,1,0,328,8,6,kognition,2.1824077376028,1,4.3850337175204,2.1824077376028,0.72133904050026,0.31839975553264,1.7387211397127,2.0449010422766,1.8961662783706,1.7446176444573
LK_1,2025-09-10,1,0,330,5,5,performanz,1.6768125011023,1,3.2756219626084,1.3219242271082,0.69428084243753,0.88633576188713,1.5671362418618,1.1132693452064,1.6768125011023,1.0989148326167
LK_1,2025-09-10,1,0,1320,7,4,kognition,1.628635644424,1,3.1766681938078,1.628635644424,0.7111800361079,0.91900819875198,1.2909320118099,1.135443536214,1.5118695274686,0.92028619841655
LK_1,2025-09-10,1,0,3862,7,6,kognition,1.5129679549924,1,2.744584432155,1.5129679549924,-0.397,-0.23814073229467,0.92589647599241,1.3418832717268,1.2475848714798,0.90274506549483
LK_1,2025-09-10,1,0,2557,7,6,methodik,1.8077742395697,1,3.8347774989791,1.5536560911458,0.72381105657853,0.91886794042449,1.5161553505408,1.8077742395697,1.4489022866436,1.8048151969357
LK_1,2025-09-10,1,0,3677,13,5,kognition,2.2511151941444,1,4.022061377403,2.2511151941444,0.795,1.2778531291911,1.2421985013815,1.7640745756642,1.6415805901794,1.2225880038314
