lehrkraft_id,n_saetze,cluster_kmeans,lehrkrafttyp,cluster_hierarchisch,cluster_dbscan,aggregierte_dominante_dimension,aggregierte_dominante_dimension_wert,avg_d_semantisch,dimensionale_balance,avg_kognition,avg_sozial,avg_affektiv,avg_motivation,avg_methodik,avg_performanz,avg_regulation
1,1948,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.47351751038468826,3.4048028221878863,0.8900452344986501,0.47351751038468826,0.1115715984930166,0.16915013934560935,0.342332633437101,0.3882124404800493,0.4242298387113673,0.3535176801354857
6,2,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.639858786146945,1.6502181043323652,0.8238427759040575,0.639858786146945,0.0,0.231121116616345,0.14226768455113,0.4013877648555,0.47748789396576996,0.087374445534825
7,7,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.4332528828480572,1.7829261239855043,0.8807398441481332,0.4332528828480572,0.032985838602635716,0.116738819834494,0.25177157128956856,0.33047318232948714,0.37181193752133285,0.3576428262541343
10,4,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.479349111139115,2.0625489646991824,0.8676956456446554,0.479349111139115,0.03831542682787825,0.1363868800847815,0.30722194443289497,0.381760138173845,0.383417707989845,0.44989872953588
12,166,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.46445833391131697,3.402845069363663,0.8908539172465115,0.46445833391131697,0.11994161175984332,0.16269090834863176,0.3456100313214516,0.3780456886628238,0.4362299031294842,0.36529905880914865
14,19,0,kognitiv-strukturierender Lehrkrafttyp,0,0,performanz,0.45838805834906315,3.6319422421428214,0.8994374425535684,0.43530409173544204,0.11579183640278919,0.2523340406748939,0.4138984914381984,0.3414617262609079,0.45838805834906315,0.37160441480097317
15,4,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.4631179176012725,2.52418843147645,0.8686538616325127,0.4631179176012725,-0.0139731818227465,0.06917885662619801,0.1373522141843625,0.3209395574588175,0.2717304344042075,0.134741581389015
18,188,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.4590367138778274,3.4156124849998712,0.8913958390488177,0.4590367138778274,0.10396617949382955,0.1736495113577716,0.33708122210856106,0.37448204964690224,0.4331478432573765,0.34160641008518833
19,238,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.4787373363650719,3.3235287079082965,0.8889406275143008,0.4787373363650719,0.11799036774702941,0.1613619174622363,0.33460976840570295,0.3886814811162785,0.4250564848749015,0.3678480956821905
20,12,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.48716339218300364,3.5319261269423485,0.8749895521682165,0.48716339218300364,0.05359877501532017,0.182329554367169,0.2856457916500937,0.3771407554873483,0.4571012008847592,0.2503693961310614
21,55,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.4413250827843382,3.291413176233928,0.8952656643876341,0.4413250827843382,0.11865019169272996,0.13780930171852096,0.31323918199437184,0.36929709395842186,0.40028911244661347,0.3408096478881688
22,16,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.44961491809521437,2.9736924847804276,0.8877660254578646,0.44961491809521437,0.05950873812449514,0.163766464813964,0.3145205380483775,0.36198296390456686,0.39433690397977,0.31867508559875624
23,301,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.45321830766918353,3.4028106992251193,0.889162496710655,0.45321830766918353,0.11153395861410591,0.16049985687801774,0.33984251911513347,0.373467429186423,0.44666392072665956,0.37365844621914907
24,17,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.4714836583315771,3.6573081940407293,0.8874158400489655,0.4714836583315771,0.12056285623371481,0.18351386529686284,0.3680113573402112,0.3873165294447569,0.46641204421711,0.40153080847994355
25,9,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,performanz,0.4857379513999322,3.3543020159703887,0.8765548576420669,0.4696081083076489,0.06835546067924633,0.18138818941546644,0.3303906492607791,0.3976848484799222,0.4857379513999322,0.34174322240118343
26,22,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.4705014036950296,3.363735665459188,0.8956883996115677,0.4705014036950296,0.14450320698739372,0.19517603251722696,0.3705543032783136,0.38939463909380456,0.45906085839955907,0.3754121505580495
28,40,0,kognitiv-strukturierender Lehrkrafttyp,0,0,kognition,0.4736290583095058,3.3744993691839227,0.8862505699976433,0.4736290583095058,0.10573560392987466,0.16031697697113131,0.33462616813615575,0.386238106714652,0.4384607021140927,0.36160438179583876
29,5,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,performanz,0.518442678345,3.2904925086409795,0.8982606738875908,0.37445825795590204,0.180272623272286,0.1902556718362722,0.4004530148294799,0.341580760778608,0.518442678345,0.41343439919160996
30,6,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.4863714284398533,3.5080272828608163,0.9009425338833076,0.4863714284398533,0.16614830130462183,0.21695784054971182,0.4058617137593783,0.37708510011749835,0.4523577555158283,0.33572304694680816
36,5,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,motivation,0.571727030782372,2.3433883563020403,0.8698926512795151,0.124842319149536,0.390957583213958,0.385925742902484,0.571727030782372,0.113761532838098,0.366709967241794,0.287714634416476
37,17,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.3628455503206882,2.3373482357960635,0.9010527681168603,0.3628455503206882,0.048467749252895986,0.1409745685784016,0.30259589469688525,0.2926583814057975,0.33524540053161705,0.3398758087753075
38,1,0,kognitiv-strukturierender Lehrkrafttyp,0,-1,kognition,0.78108793300561,2.359810786534,0.8014281734654845,0.78108793300561,0.018432213851836,0.086879610359002,0.11348578136332,0.48890229627607,0.27009925920707,0.23905494098143
