cluster_kmeans,avg_kognition,avg_sozial,avg_affektiv,avg_motivation,avg_methodik,avg_performanz,avg_regulation,avg_d_semantisch,dimensionale_balance,avg_x_norm,n_saetze,typ_interpretation
0,0.46943164890597133,0.09796160365702948,0.1737033892900853,0.3181796302068312,0.36406934799955015,0.42008023252530924,0.3305993754036271,2.9650208804368123,0.8786437582348481,0.9840968530185673,123.8,kognitiv-strukturierender Lehrkrafttyp
1,0.0665641858938882,-0.06721212058539314,0.04390020403192337,0.1254141960897775,0.10150146402198401,0.02356343821264318,0.09544744554762574,2.5276953614436257,0.9339507691739815,0.9999944869406644,6.5,balancierter Resonanztyp
