gruppe,datum,coherence_C,window_n
andere,2025-09-01,1.0,1
andere,2025-09-01,0.9859646663304446,2
andere,2025-09-01,0.9854061844636384,3
andere,2025-09-01,0.9877573290521735,4
andere,2025-09-01,0.6058513428079646,5
andere,2025-09-01,0.6692358262526431,6
andere,2025-09-01,0.712008838901492,7
andere,2025-09-01,0.7426908970562424,8
andere,2025-09-01,0.7544232135471279,9
andere,2025-09-01,0.7663694769974196,10
andere,2025-09-01,0.7835657091393632,11
andere,2025-09-01,0.7936277507345816,12
andere,2025-09-01,0.807193512776054,13
andere,2025-09-01,0.8193388581547384,14
andere,2025-09-01,0.829449088140363,15
andere,2025-09-01,0.8381435945539956,16
andere,2025-09-03,0.8463485374502786,17
andere,2025-09-03,0.8520121911084663,18
andere,2025-09-03,0.8590867899545683,19
andere,2025-09-10,0.8649051039137183,20
andere,2025-09-10,0.8705169820603847,21
andere,2025-09-10,0.8713855389893564,22
andere,2025-09-10,0.8764557917604175,23
andere,2025-09-10,0.8811719193425641,24
andere,2025-09-11,0.884935873345062,25
andere,2025-09-11,0.8870308537417482,26
andere,2025-09-11,0.8897765838817453,27
andere,2025-09-11,0.8933715085949685,28
andere,2025-09-11,0.895974094524624,29
andere,2025-09-11,0.8991086226644504,30
andere,2025-09-11,0.8984508172795695,30
andere,2025-09-11,0.8964434087408409,30
andere,2025-09-11,0.8964859155611826,30
andere,2025-09-11,0.896299103490936,30
andere,2025-09-15,0.9600451658713458,30
andere,2025-09-15,0.9593647105562639,30
andere,2025-09-15,0.9563673479042838,30
andere,2025-09-15,0.9579739750005183,30
andere,2025-09-15,0.8973906903504919,30
andere,2025-09-15,0.9011205614570679,30
andere,2025-09-15,0.9024801535052542,30
andere,2025-09-15,0.9065509894108453,30
andere,2025-09-15,0.9058024447956283,30
andere,2025-09-15,0.9040096445928147,30
andere,2025-09-15,0.9002375077127706,30
andere,2025-09-16,0.9005298458492869,30
andere,2025-09-16,0.9014744654142082,30
andere,2025-09-16,0.8973789389319905,30
andere,2025-09-16,0.8970473654408437,30
andere,2025-09-16,0.8939265085595609,30
andere,2025-09-16,0.8939429299813875,30
andere,2025-09-17,0.8953153700282606,30
andere,2025-09-17,0.894557287680739,30
andere,2025-09-17,0.8884158786626882,30
andere,2025-09-17,0.8261587205853899,30
andere,2025-09-17,0.8284743661538746,30
andere,2025-09-18,0.7900267057841021,30
andere,2025-09-18,0.7899306396918332,30
andere,2025-09-18,0.7896977296390718,30
andere,2025-09-18,0.789622221607831,30
andere,2025-09-18,0.788458448898943,30
andere,2025-09-18,0.7915949828182677,30
andere,2025-09-18,0.78867665917363,30
andere,2025-09-18,0.7886423030207912,30
andere,2025-09-18,0.788901464712665,30
andere,2025-09-18,0.7894328612711593,30
andere,2025-09-18,0.7907881201839557,30
andere,2025-09-18,0.7908249143147279,30
andere,2025-09-22,0.8510889730838634,30
andere,2025-09-22,0.8494352358589641,30
andere,2025-09-22,0.8468212415842299,30
andere,2025-09-22,0.8469331924296196,30
andere,2025-09-22,0.8473365864506889,30
andere,2025-09-22,0.8486993652053433,30
andere,2025-09-22,0.7900082155576915,30
andere,2025-09-22,0.7413637302480787,30
andere,2025-09-22,0.7415228129040522,30
andere,2025-09-22,0.746321541612857,30
andere,2025-09-22,0.7452303217667333,30
andere,2025-09-24,0.7437212472437065,30
andere,2025-09-24,0.743259215956346,30
andere,2025-09-24,0.7451512804973685,30
andere,2025-09-24,0.7390125910201248,30
andere,2025-09-24,0.7441858258738682,30
andere,2025-09-25,0.8061722658508195,30
andere,2025-09-25,0.8056904939461758,30
