datum,path_key,lehrkraft_id,gruppe_id,teilnehmer_id,fach,thema,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,token_anzahl,funktionsklassen_anzahl_gesamt,operator_count,modulator_count,has_operator,drift_norm,cosine_prev,delta_dichte,polaritaetswechsel,dominanzwechsel,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,rolling_dichte,rolling_drift,rolling_cohesion,drift_window,z_drift,z_delta_dichte,changepoint_score,is_changepoint,phase
2025-09-08,lk=1|g=0|tn=12,1,0,12,MAT,Grundrechenarten: DezZ,performanz,2.1018406752718,1,4.0297451295107,5,3,0,0,0,0.0,,0.0,0,0,0.50229795388456,0.030986423052732,0.16577460984972,0.36043056753727,0.43342058043781,0.52158024686899,0.35977892556151,4.0297451295107,0.0,1.0,0.0,-1.0992169801821143,-1.2107232727958528,0.0,0,Einstieg
2025-09-08,lk=1|g=0|tn=12,1,0,12,MAT,Grundrechenarten: DezZ,kognition,2.6228056368715,1,4.6361765459891,7,4,0,0,0,0.1378865191743085,0.9904936098198474,0.6064314164783999,0,1,0.56572478498315,0.048988682338982,0.17044432813436,0.3147111289115,0.48920271513479,0.42441388016159,0.36056963398192,4.3329608377499,0.06894325958715425,0.9952468049099237,0.1378865191743085,-0.7264790941946154,-0.4320512085227785,1.0,0,Konsolidierung
2025-09-08,lk=1|g=0|tn=12,1,0,12,MAT,Grundrechenarten: DezZ,kognition,1.9983364398439,1,3.4475065704142,5,3,0,0,0,0.19221061654643168,0.981527446017322,-1.1886699755749,0,0,0.57964520228655,0.17656477495722,0.28633515641049,0.33452481948389,0.42245213690023,0.39236938764407,0.32636834629356,4.037809415304667,0.11003237857358006,0.9906736852790564,0.3300971357207402,-0.5796289935907485,0.3155566633513866,0.3155566633513866,0,Konsolidierung
2025-09-08,lk=1|g=0|tn=12,1,0,12,MAT,Grundrechenarten: DezZ,kognition,1.8346238946577,1,3.050519966414,5,3,0,0,0,0.24613751520253377,0.9697079746382379,-0.39698660400020014,0,0,0.60141153008057,0.25796034376092,0.36992244687776,0.36833268059845,0.37038652482427,0.38425337642634,0.12002358492601,3.790987053082,0.1440586627308185,0.9854322576188518,0.576234650923274,-0.433852609334304,-0.7009832263109693,0.0,0,Konsolidierung
2025-09-08,lk=1|g=0|tn=12,1,0,12,MAT,Grundrechenarten: DezZ,performanz,2.1296617818885,1,4.1758633815523,5,4,1,0,1,0.5321255104461075,0.8584204174111806,1.1253434151382997,0,1,0.43867325516652,0.04495104170913,0.097467221646455,0.41063104598145,0.38849258744244,0.50999194355286,0.46519286477064,3.8679623187760597,0.22167203227387627,0.9600298895773175,1.1083601613693814,0.33923645987438755,0.23424388469484506,1.5734803445692327,1,Destabilisierung
2025-09-22,lk=1|g=0|tn=13,1,0,13,MAT,Weitere Themen: KorrLK,kognition,1.919667488646,1,3.1988921097457,5,5,0,0,0,0.0,,0.0,0,0,0.60010197961283,0.028359326892356,0.086449473354213,0.30337364378423,0.40429765756495,0.44207952411901,0.42504956153813,3.1988921097457,0.0,1.0,0.0,-1.0992169801821143,-1.2107232727958528,0.0,0,Einstieg
2025-09-22,lk=1|g=0|tn=13,1,0,13,MAT,Weitere Themen: KorrLK,kognition,2.1969604991137,1,3.9082087439743,6,3,1,0,1,0.12298889304021704,0.9924368230995734,0.7093166342286001,0,0,0.56213857080057,0.033812121852611,0.13194589398309,0.32139828186305,0.47968884541538,0.45640853074794,0.35176006075289,3.55355042686,0.06149444652010852,0.9962184115497867,0.12298889304021704,-0.7667506864046827,-0.2999441924417825,0.0,0,Konsolidierung
2025-09-22,lk=1|g=0|tn=13,1,0,13,MAT,Weitere Themen: KorrLK,kognition,2.1578157776495,1,4.3971375276988,4,3,1,0,1,0.20718337360505554,0.9785374211242237,0.4889287837245,0,0,0.49073081220424,0.060721922309847,0.069526878632361,0.41129175166939,0.38033388003918,0.45934695578322,0.47522962004667,3.8347461271395997,0.11005742221509085,0.990324748074599,0.33017226664527255,-0.5391543058050572,-0.5829273259497508,0.0,0,Konsolidierung
2025-09-22,lk=1|g=0|tn=13,1,0,13,MAT,Weitere Themen: KorrLK,kognition,1.8497956426329,1,2.9898402914902,4,2,1,0,1,0.5633609243320231,0.8413113428217937,-1.4072972362086,0,0,0.61869172777574,0.26165124118264,0.37511761181132,0.32912105809137,0.40496483599092,0.3576085578641,0.088533564626579,3.62351966822725,0.22338329774432392,0.9530713967613977,0.8935331909772957,0.4236727210078115,0.596279158456609,1.0199518794644205,0,Aktivierung
2025-09-22,lk=1|g=0|tn=13,1,0,13,MAT,Weitere Themen: KorrLK,kognition,1.9207934795839,1,2.581090336861,4,3,1,0,1,0.4541213759226153,0.8968861435911574,-0.40874995462919994,0,0,0.74417621514084,0.017341980457166,0.11337281487846,0.15558292653975,0.47161091587224,0.34856207029875,0.25479688559567,3.4150338019540003,0.2695309133799822,0.9418343461273496,1.347654566899911,0.12837395950322497,-0.6858788101013953,0.12837395950322497,0,Aktivierung
