datum,path_key,lehrkraft_id,gruppe_id,teilnehmer_id,fach,thema,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,token_anzahl,funktionsklassen_anzahl_gesamt,operator_count,modulator_count,has_operator,drift_norm,cosine_prev,delta_dichte,polaritaetswechsel,dominanzwechsel,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,rolling_dichte,rolling_drift,rolling_cohesion,drift_window,z_drift,z_delta_dichte,changepoint_score,is_changepoint,phase
2024-05-27,lk=10|g=0|tn=12,10,0,12,MAT,Mathematik: Zuordnungen,kognition,0.811,1,0.99141868047763,1,1,0,0,0,0.0,,0.0,0,0,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0,0.99141868047763,0.0,1.0,0.0,-1.0613262323141939,-1.1657852150825316,0.0,0,Einstieg
2024-06-12,lk=10|g=4|tn=12,10,4,12,MAT,Mathematik: Brüche,regulation,1.9720680414444,1,4.2682976181147,6,5,1,1,1,0.0,,0.0,0,0,0.42123744044348,0.086383249056085,0.20650898079698,0.4477473853082,0.39851133620073,0.44686631738203,0.46202575303498,4.2682976181147,0.0,1.0,0.0,-1.0613262323141939,-1.1657852150825316,0.0,0,Einstieg
2024-08-14,lk=10|g=4|tn=12,10,4,12,MAT,Mathematik: Geometrie,regulation,1.0,1,1.4952397801022,1,1,0,0,0,0.2797995373260407,0.9608557559663998,-2.7730578380125004,0,0,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427,2.8817686991084503,0.13989976866302034,0.9804278779831999,0.2797995373260407,-0.33070772448660596,2.2814035013416256,2.2814035013416256,1,Aktivierung
2024-08-28,lk=10|g=4|tn=12,10,4,12,MAT,Mathematik: Rationale Zahlen,regulation,1.0,1,1.4952397801022,1,1,0,0,0,0.0,0.9999999999999999,0.0,0,0,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427,2.4195923927730334,0.09326651244201356,0.9869519186554666,0.2797995373260407,-1.0613262323141939,-1.1657852150825316,0.0,0,Abschlussstabilisierung
2025-05-05,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Monats- und Tageszins,regulation,1.892760396549,1,3.9135514572177,7,5,0,0,0,0.0,,0.0,0,0,0.48290780948926,0.11731649097598,0.12662994423003,0.34729939776507,0.45097294355673,0.42319516836709,0.48364141389889,3.9135514572177,0.0,1.0,0.0,-1.0613262323141939,-1.1657852150825316,0.0,0,Einstieg
2025-05-12,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Prozentrechnung,kognition,2.4418662631931,1,3.8926795210269,6,3,0,0,0,0.28169516638469244,0.9603237133113507,-0.020871936190800078,0,1,0.62729540848379,0.090561723482318,0.22717583235997,0.21605312167863,0.49577012117614,0.39124498306449,0.31803371973125,3.9031154891223,0.14084758319234622,0.9801618566556753,0.28169516638469244,-0.3257578175372857,-1.1398393073049937,1.0,0,Aktivierung
2025-05-19,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Prozentwerte berechnen,regulation,1.9675111922216,1,3.6332058772968,5,3,0,0,0,0.43054608780131964,0.9073145399329753,-0.2594736437301002,0,1,0.36460133817623,0.14073107902661,0.12452320262745,0.41522702857721,0.39809856392654,0.45562450837578,0.54153434826599,3.8131456185138,0.23741375139533738,0.9558794177481086,0.7122412541860121,0.0629248769857268,-0.8432334800935007,1.062924876985727,0,Aktivierung
2025-05-26,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Prozentrechnung,performanz,2.1022287060364,1,3.6437448867909,4,4,0,0,0,0.2618165708621088,0.9657258532129859,0.010539009494100249,0,1,0.48094905762344,0.011578306306002,0.1378347682621,0.35598328282003,0.35081221288435,0.57694020902922,0.40852995418407,3.770795435583075,0.24351445626203022,0.958341026614328,0.9740578250481209,-0.37766522931221763,-1.152684170411791,1.0,0,Aktivierung
2025-08-18,lk=12|g=0|tn=12,12,0,12,MAT,Brüche: Wiederholung Klasse 7 + Übung Grundrechenarten gemischte Brüche,kognition,2.9796031696704,1,4.9791815574595,10,6,1,0,1,0.278546350899913,0.9612057808202722,1.3354366706686003,0,1,0.59841103425848,0.076333183634341,0.15553733272238,0.25744224192988,0.48917452388565,0.40541565792172,0.37676454468877,4.012472659958361,0.25052083518960677,0.9589139774555168,1.2526041759480337,-0.33398007155850373,0.4942963596772843,1.4942963596772842,1,Aktivierung
2025-08-25,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Zinsrechnung,performanz,2.1834193470863,1,4.7272578340427,6,5,1,0,1,0.3297480022259523,0.9456329033181924,-0.2519237234168008,0,1,0.40939526234525,0.19494675496675,0.26216929806182,0.43140491422681,0.38087108066135,0.46187764766845,0.42561763210998,4.17521393532336,0.31647043563479726,0.9480405581191553,1.5823521781739862,-0.20028122971035575,-0.8526187874452437,1.0,0,Aktivierung
