scope,teilnehmer_id,n,stabilitaet_std_d_semantisch,mittlere_delta_bewegung,delta_std,dominanzwechsel,dominanzwechsel_rate,dominanzstabilitaet,kohaerenz_index,kognition_varianz,sozial_varianz,affektiv_varianz,motivation_varianz,methodik_varianz,performanz_varianz,regulation_varianz
lehrkraft_1,12,45,0.6773097050712604,0.3125939374092572,0.14179044856277448,33,0.75,0.25,0.5961928181638435,0.09448870341275817,0.10757726480650211,0.1045524313876869,0.08780269438689488,0.05720943625631513,0.06052868405546355,0.11026500213687145
lehrkraft_1,40,9,0.699304362345189,0.34649108986326116,0.13444567577652,7,0.875,0.125,0.5884760977250199,0.12730178501738493,0.12361878219124967,0.10920514653481132,0.10000097565581102,0.05196217005713388,0.08131151085115829,0.06585376028163804
lehrkraft_1,47,15,0.7175164086468879,0.26671487560517204,0.1219951608461637,11,0.7857142857142857,0.2142857142857143,0.5822360677111845,0.08845974049125006,0.08029763214416845,0.09755906677583677,0.07340528069231131,0.04622091490173083,0.06807871381875537,0.09762978317568743
lehrkraft_1,16,107,0.7396207214995201,0.3434920101445252,0.20298032232979535,66,0.6226415094339622,0.37735849056603776,0.5748379446400357,0.11562326518285349,0.11837356269412544,0.10592923362440373,0.08472711563106038,0.07830718873061815,0.1176568558228652,0.1031396600084787
lehrkraft_1,10,107,0.7553546743612517,0.4865854957471749,0.4845806312189728,71,0.6698113207547169,0.33018867924528306,0.5696854399888647,0.17554677330190124,0.12999284582782245,0.14365163609077058,0.17573295338924974,0.1536056381226339,0.24226555878101594,0.2083716517382817
lehrkraft_1,24,32,0.7733277254498655,0.440209233721983,0.41668002071809,19,0.6129032258064516,0.3870967741935484,0.5639115577163356,0.17046566246223416,0.1164807794514891,0.12481870317832462,0.16208057566963793,0.12439109788313558,0.19828985974769242,0.20073958701389724
lehrkraft_1,18,63,0.7761636981197457,0.4271885453162824,0.42097497321428995,44,0.7096774193548387,0.29032258064516125,0.5630111689922523,0.15678051875011695,0.12300089089584913,0.1391774850491785,0.16379146070907746,0.12986673465066054,0.1937340776251954,0.18187002737055824
lehrkraft_1,22,92,0.7788329923851869,0.36383464652082786,0.29097986254888786,63,0.6923076923076923,0.3076923076923077,0.5621663215607038,0.12493055916274867,0.11427394552724453,0.11341780038415682,0.10941826565639781,0.09705971824292729,0.13474799909727234,0.14634475017223017
lehrkraft_1,20,98,0.7959298273710169,0.377455408295972,0.2915877638429172,64,0.6597938144329897,0.3402061855670103,0.5568146287006415,0.14990575428244626,0.12251432682659101,0.10737864004424416,0.11170279328522915,0.10632974460225382,0.11628228560876003,0.1463830614416391
lehrkraft_1,21,61,0.8067177960036179,0.4147108862872903,0.31064172768671927,38,0.6333333333333333,0.3666666666666667,0.5534898710866506,0.14630934740733234,0.11485229180642238,0.118872110950803,0.1324324777321714,0.10271837391524016,0.18244066416733543,0.1250662479988666
