scope,teilnehmer_id,n,stabilitaet_std_d_semantisch,mittlere_delta_bewegung,delta_std,dominanzwechsel,dominanzwechsel_rate,dominanzstabilitaet,kohaerenz_index,kognition_varianz,sozial_varianz,affektiv_varianz,motivation_varianz,methodik_varianz,performanz_varianz,regulation_varianz
ohne_lehrkraft_1,2,4,0.2882540864779506,0.3138176780238433,0.06305894009407367,1,0.3333333333333333,0.6666666666666667,0.7762443841602483,0.12547450030807553,0.09093855628501701,0.07833172169086375,0.11686973248357123,0.07665007714295659,0.0454184794703316,0.09240017352248642
ohne_lehrkraft_1,42,5,0.5548417720616902,0.4105001400104241,0.1667022389632403,2,0.5,0.5,0.6431522602290388,0.13585508808034846,0.13941067530337983,0.12386215923816435,0.14003680283383138,0.150339876187019,0.06859381043062535,0.13498328658203385
ohne_lehrkraft_1,43,12,0.5772109321105658,0.297269710569704,0.10101629541396996,9,0.8181818181818182,0.18181818181818177,0.6340306040497936,0.06653210974933581,0.09623076984219556,0.11703784660172097,0.0471881680642504,0.0451881873241063,0.04719022997303241,0.10330431672077321
ohne_lehrkraft_1,21,19,0.6535642686968112,0.23643715233993262,0.07793503109810544,13,0.7222222222222222,0.2777777777777778,0.6047542384234686,0.09241655990294935,0.10632121129421115,0.07265444698396076,0.08622203567542777,0.05485981411508531,0.07242448228058254,0.13488485347657014
ohne_lehrkraft_1,22,69,0.6805596269983863,0.36869728305763383,0.30272886252319847,42,0.6176470588235294,0.38235294117647056,0.5950398807247796,0.11935415011840722,0.12716556675340038,0.12408807508940141,0.11831847801856905,0.09760885485644244,0.14572445744415993,0.14213187189210638
ohne_lehrkraft_1,19,22,0.6856409335067503,0.5093317027564995,0.5196717726176223,17,0.8095238095238095,0.19047619047619047,0.5932461535088815,0.1816272774772208,0.12265990558647727,0.14125297911312684,0.19933149558490057,0.15049504000013245,0.23579228551195905,0.24820082722389136
ohne_lehrkraft_1,20,15,0.7405709838722287,0.3021142229140578,0.10506963207240662,10,0.7142857142857143,0.2857142857142857,0.5745241126422269,0.07994969203399363,0.11576739842554366,0.084445619962894,0.06765227847669351,0.07065793121744456,0.09531555829132507,0.06770858581281788
ohne_lehrkraft_1,3,14,0.764609183429274,0.31778465363358216,0.13819999983704656,10,0.7692307692307693,0.23076923076923073,0.5666977194670597,0.07956988666705035,0.15633745642573946,0.10533493906931146,0.0667666341919482,0.06379114744537445,0.09296727469644364,0.048073866744512236
ohne_lehrkraft_1,15,29,0.7880610516755012,0.45831347681026785,0.42747044891843117,17,0.6071428571428571,0.3928571428571429,0.5592650200970212,0.16763980644403087,0.11517486755510901,0.12693098642406894,0.15771939910990168,0.13966221035239842,0.21189082900739958,0.20475884857991306
ohne_lehrkraft_1,8,105,0.8475301768038521,0.4305293780022732,0.37448625089760346,71,0.6826923076923077,0.3173076923076923,0.5412631482588052,0.15235592843146772,0.1375013698748955,0.1150573111020117,0.15043284943277802,0.1284859220248184,0.16132803275257673,0.20187750571853047
ohne_lehrkraft_1,7,13,0.8507803015813868,0.4545810989451287,0.1696530816114102,10,0.8333333333333334,0.16666666666666663,0.5403126449668589,0.11740777348487429,0.17584618087465528,0.12284910386882501,0.11408771637024911,0.08466639679800103,0.08319158956579316,0.16061385662447342
ohne_lehrkraft_1,16,22,0.859211043022481,0.3920263289436919,0.2051243379971842,13,0.6190476190476191,0.38095238095238093,0.5378625539865128,0.13941410642043647,0.14420281258931805,0.07824800645258145,0.11037271967176891,0.0828845524543152,0.1278007499963098,0.13758273561568313
ohne_lehrkraft_1,10,28,0.8595793051442382,0.5938704343419351,0.6073649742489085,21,0.7777777777777778,0.2222222222222222,0.5377560382790101,0.24098400126579494,0.12299303981017738,0.13599399067147833,0.21865736490271623,0.20173168551600446,0.2734731863194552,0.2730689671960537
ohne_lehrkraft_1,47,43,0.8717512601859108,0.4932282165909826,0.5575211857793196,25,0.5952380952380952,0.40476190476190477,0.5342590232318987,0.1891188272208218,0.12490427371455266,0.13963779974043036,0.18290261870986624,0.1767408489033505,0.23600258270898478,0.2713396456187033
ohne_lehrkraft_1,6,56,0.8771075765650874,0.43709448737963313,0.35798766690303957,43,0.7818181818181819,0.21818181818181814,0.5327345179810613,0.16566565205650216,0.1424678731878899,0.12988365263305504,0.12550022561150348,0.11623296620503695,0.2141072145692786,0.1216403137655929
