cluster_kmeans,n,d_semantisch_mean,d_semantisch_std,dominante_dimension_mode,polaritaet_mean,anteil
0,1121,3.362410170836084,0.9184972249612059,kognition,1.0,0.9663793103448276
1,39,2.3002267523488404,1.5799015837413675,performanz,-0.9487179487179487,0.03362068965517241
