scope,match_id,datum,gruppe_id,teilnehmer_id,lehrkraft_id,cosine_lt,distanz_lt,density_lehrkraft,density_teilnehmer,density_delta,dominanz_gleich,dominanz_lehrkraft,dominanz_teilnehmer,polaritaet_lehrkraft,polaritaet_teilnehmer,emotion_valenz,emotion_aktivierung,emotion_anzahl,l_kognition,t_kognition,delta_kognition,abs_delta_kognition,l_sozial,t_sozial,delta_sozial,abs_delta_sozial,l_affektiv,t_affektiv,delta_affektiv,abs_delta_affektiv,l_motivation,t_motivation,delta_motivation,abs_delta_motivation,l_methodik,t_methodik,delta_methodik,abs_delta_methodik,l_performanz,t_performanz,delta_performanz,abs_delta_performanz,l_regulation,t_regulation,delta_regulation,abs_delta_regulation
alle_lehrkraefte,M000001,2025-09-08,2,16,1,0.8675226707653112,0.5060019606011721,0.9604396691948609,1.9266454054326,-0.9662057362377392,0,kognition,methodik,1,1,0.75,0.6,1,0.528094677387342,0.25841410088398,0.26968057650336197,0.26968057650336197,0.12266603278880281,0.42069304143011,-0.29802700864130716,0.29802700864130716,0.16412498262412317,0.41234595727475,-0.2482209746506268,0.2482209746506268,0.326084117252896,0.44365294304186,-0.117568825788964,0.117568825788964,0.44843036298481,0.4644014093709,-0.015971046386090038,0.015971046386090038,0.444199993809648,0.31142212157813,0.132777872231518,0.132777872231518,0.31119467843297144,0.27700178182476,0.034192896608211454,0.034192896608211454
alle_lehrkraefte,M000002,2025-09-08,2,20,1,0.9484270420635114,0.317485200082779,0.9660539100326545,1.9604465177275,-0.9943926076948454,0,kognition,methodik,1,1,0.76666666666667,0.46666666666667,3,0.532008077306966,0.3494644594658,0.18254361784116596,0.18254361784116596,0.1551809495430666,0.34900749384375,-0.1938265443006834,0.1938265443006834,0.20902246131950802,0.35757702727483,-0.14855456595532196,0.14855456595532196,0.349737498400198,0.35621136647309,-0.006473868072891964,0.006473868072891964,0.44095688924224197,0.51008787561778,-0.06913098637553805,0.06913098637553805,0.413121251401628,0.3629927673001,0.05012848410152798,0.05012848410152798,0.30826544083841456,0.3307069726922,-0.022441531853785446,0.022441531853785446
alle_lehrkraefte,M000003,2025-09-08,2,21,1,0.9020685104227238,0.43586889507503157,0.9629724620706277,1.9295280949248,-0.9665556328541722,0,kognition,methodik,1,1,0.80666666666667,0.48333333333333,3,0.520239628349474,0.36829642407033,0.15194320427914404,0.15194320427914404,0.1088460240257102,0.40915376452818,-0.3003077405024698,0.3003077405024698,0.22132407452952602,0.35467827785097,-0.133354203321444,0.133354203321444,0.354571769588368,0.28082091833555,0.073750851252818,0.073750851252818,0.367249896763134,0.51826143506903,-0.15101153830589598,0.15101153830589598,0.490949196163674,0.32059893425201,0.17035026191166397,0.17035026191166397,0.306936718581036,0.34772874381537,-0.040792025234334006,0.040792025234334006
alle_lehrkraefte,M000004,2025-09-15,1,2,1,0.7806379813628086,0.6553606734743095,0.9778517505990465,0.95914367859819,0.018708072000856446,0,kognition,methodik,1,1,-0.125,0.50833333333333,6,0.47403068864816406,0.40372892069248,0.07030176795568405,0.07030176795568405,0.1514091362629702,0.5439634765183,-0.3925543402553298,0.3925543402553298,0.1476542400686412,0.015754041789359,0.1319001982792822,0.1319001982792822,0.39271353078555,0.2094750462734,0.18323848451215,0.18323848451215,0.42221294011534594,0.62555799799604,-0.203345057880694,0.203345057880694,0.44547294462210196,0.32490221601345,0.12057072860865198,0.12057072860865198,0.39475134295153,-0.0097184903260099,0.40446983327753994,0.40446983327753994
alle_lehrkraefte,M000005,2025-09-15,2,16,1,0.8777057583330964,0.48061851573302566,0.8408064873295749,1.6168957220315,-0.776089234701925,0,kognition,sozial,1,1,0.66666666666667,0.56666666666667,3,0.4380433424021217,0.24475584616495,0.19328749623717173,0.19328749623717173,0.1276787540365894,0.49477525891409,-0.3670965048775006,0.3670965048775006,0.1955263663540966,0.38295736629115,-0.18743099993705342,0.18743099993705342,0.328294541116978,0.40189036655776,-0.07359582544078203,0.07359582544078203,0.383584751338196,0.48175485736372,-0.098170106025524,0.098170106025524,0.285923227227676,0.29628983527995,-0.010366608052274018,0.010366608052274018,0.351958088536152,0.25931524730587,0.09264284123028199,0.09264284123028199
alle_lehrkraefte,M000006,2025-09-15,2,20,1,0.896058004648901,0.4531433593082008,0.9869362303835227,1.7498328045174,-0.7628965741338773,0,performanz,methodik,1,1,0.2,0.775,2,0.47049610738854397,0.34288990245704,0.12760620493150399,0.12760620493150399,0.11184877013722641,0.44515531196177,-0.33330654182454356,0.33330654182454356,0.1519085304159284,0.24359470153719,-0.09168617112126162,0.09168617112126162,0.395801758656436,0.31985198713571,0.07594977152072602,0.07594977152072602,0.40303153642456396,0.57148317076173,-0.1684516343371661,0.1684516343371661,0.492115872103294,0.34288990245704,0.149225969646254,0.149225969646254,0.394738779064422,0.28009478738405,0.11464399168037198,0.11464399168037198
alle_lehrkraefte,M000007,2025-09-15,2,21,1,0.8771705059679307,0.4830001743684612,0.9292978995850348,1.9949766814554,-1.065678781870365,0,kognition,methodik,1,1,0.7,0.3,1,0.496363379652096,0.35194780257296,0.144415577079136,0.144415577079136,0.0837050583384118,0.44849488717032,-0.3647898288319082,0.3647898288319082,0.131442872977814,0.32461160989388,-0.19316873691606598,0.19316873691606598,0.34989771046389195,0.2394108421514,0.11048686831249196,0.11048686831249196,0.4082183834981394,0.5012589915433,-0.09304060804516062,0.09304060804516062,0.47814790539355806,0.36137276134517,0.11677514404838807,0.11677514404838807,0.2742957163709514,0.36117029443304,-0.08687457806208859,0.08687457806208859
alle_lehrkraefte,M000008,2025-09-15,2,23,1,0.9270145698493347,0.3753793720736107,0.9433144431762632,1.4014426935427,-0.4581282503664368,0,motivation,sozial,1,1,0.506,0.53,5,0.41801609214167995,0.27631100726494,0.14170508487673994,0.14170508487673994,0.23109808275659577,0.48929170517245,-0.25819362241585425,0.25819362241585425,0.2839004114391198,0.3472647463119,-0.0633643348727802,0.0633643348727802,0.46604759800038204,0.34587734098213,0.12017025701825201,0.12017025701825201,0.32914859118600004,0.48070764016943,-0.15155904898342998,0.15155904898342998,0.410685036059932,0.3086520349489,0.10203300111103203,0.10203300111103203,0.2947839215786102,0.34303935642325,-0.04825543484463979,0.04825543484463979
alle_lehrkraefte,M000009,2025-09-22,1,2,1,0.888958084790991,0.46760753907202224,0.9833153169425896,1.7119970175957,-0.7286817006531104,0,kognition,performanz,1,1,0.8025,0.53125,8,0.542894483891774,0.34052554827604,0.202368935615734,0.202368935615734,0.0810495188170484,0.40721032196347,-0.3261608031464216,0.3261608031464216,0.16023334433337202,0.41034401598141,-0.250110671648038,0.250110671648038,0.329272657265898,0.36254652589155,-0.033273868625652014,0.033273868625652014,0.419586832882788,0.39350781760059,0.02607901528219797,0.02607901528219797,0.489553102612916,0.41567123029248,0.07388187232043603,0.07388187232043603,0.340286657580886,0.30127883164279,0.039007825938095986,0.039007825938095986
alle_lehrkraefte,M000010,2025-09-22,2,16,1,0.852150015240141,0.5368219799952296,0.9718892605672868,1.7920220385623,-0.8201327779950133,0,kognition,methodik,1,1,0.75,0.6,1,0.53399570879529,0.15909758735354,0.37489812144175005,0.37489812144175005,0.20852110558962075,0.45229706883932,-0.24377596324969927,0.24377596324969927,0.295319194663634,0.38545326200869,-0.09013406734505602,0.09013406734505602,0.3810187800420375,0.37069059398844,0.010328186053597477,0.010328186053597477,0.38244707827448754,0.49928897209536,-0.11684189382087246,0.11684189382087246,0.40912544377108,0.21542509138013,0.19370035239095001,0.19370035239095001,0.26438254937656247,0.43408770632761,-0.16970515695104754,0.16970515695104754
