lehrkraft_id,teilnehmer_id,n,cosine_slope,distanz_slope,drift_delta_mittel
1,2,10,0.008048317756568469,-0.014428183349382444,-0.012775741920563854
1,5,3,0.05103270172213853,-0.12226161701348522,-0.12226161701348517
1,15,2,1.616824400583893,-1.2796797448562822,-1.2796797448562822
1,16,9,-3.941201635181672e-05,-0.0031543194358938753,-0.0271990169726282
1,20,11,-0.0010308393929288806,0.0007579774355438767,0.012363390935046698
1,21,13,0.00044170668804132036,0.0016415909783332233,-0.0030808480501693333
1,23,10,0.003766787963962103,-0.0016060992492184954,0.007235328316555273
1,40,3,0.0252129691500501,-0.05759981765761651,-0.05759981765761649
1,43,9,0.0015133874585169923,-0.0012174369317014973,-0.007801389867287824
1,45,3,0.08332618045455706,-0.13685566193983278,-0.13685566193983278
