gruppe,cluster,anzahl_schueler,summe_beobachtungen,dominante_dimension,dominante_dimension_wert,dichte_mean,dichte_std,positive_share_mean,negative_share_mean,mean_x_kognition,mean_x_sozial,mean_x_affektiv,mean_x_motivation,mean_x_methodik,mean_x_performanz,mean_x_regulation,std_x_kognition,std_x_sozial,std_x_affektiv,std_x_motivation,std_x_methodik,std_x_performanz,std_x_regulation
Lehrkraft 1,0,13,94,performanz,0.4305507575892387,0.9999982880214466,2.112178458865558e-08,1.0,0.0,0.42877557910574304,0.17147302772091694,0.2656380706373749,0.40926034105193076,0.4207297472417898,0.4305507575892387,0.41642905999521146,0.00800194610400352,0.022208872910173125,0.019162845614712293,0.006191319278934545,0.006273754707695486,0.00807014425211655,0.005927548292376834
Lehrkraft 1,1,5,254,kognition,0.6449374429288084,1.4531943611581475,0.019842974561486752,0.9933333333333334,0.006666666666666666,0.6449374429288084,0.43334473484346747,0.4177251304743292,0.5971218575065955,0.525079828415892,0.6165477452843902,0.5185313097819442,0.0051981548600269715,0.012520130173304243,0.016398586780419583,0.007202768697146426,0.008557968935222243,0.01354229688174834,0.011422643059134688
Lehrkraft 1,2,3,102,kognition,0.7350952688752689,1.625556010236686,0.060806536480604065,1.0,0.0,0.7350952688752689,0.5296837862747423,0.48844377780653286,0.6691360869517234,0.5682645457946397,0.6971820572505966,0.5571235801379204,0.028745375185449697,0.04639486798814101,0.0269514999911632,0.027207572014850412,0.008334585247690747,0.025265869534859747,0.010202674764950312
Nicht Lehrkraft 1,0,13,92,performanz,0.43520381562757776,1.0166381490944087,0.04005060191802801,1.0,0.0,0.4335758137570276,0.20923493302920348,0.26196759839189443,0.4152200068741424,0.41909370806851864,0.43520381562757776,0.42206925367901155,0.022009552281868686,0.047670488183703986,0.018479286149096424,0.015489220444293739,0.007416251188067255,0.019984208940295786,0.005526410064334084
Nicht Lehrkraft 1,1,4,116,kognition,0.7279624096255113,1.5903801259173909,0.0632668945764393,0.9770408163265306,0.02295918367346939,0.7279624096255113,0.49591210543579645,0.42181087293695363,0.6281946290838565,0.5516367132726782,0.6719318725928015,0.5183754591858287,0.021549737991246282,0.07745241795874586,0.06109642602231756,0.04005149550913145,0.024353527796404064,0.025597068719169155,0.018916568939972848
Nicht Lehrkraft 1,2,4,70,performanz,0.5620848597234214,1.3634294409526482,0.16931584155290896,0.9772727272727273,0.022727272727272728,0.5549731839921624,0.3570392262336007,0.30919301695117857,0.514943754088306,0.4712235426434773,0.5620848597234214,0.4735685793786908,0.027964770907442697,0.06287602146033222,0.04425784154556568,0.03153821450827995,0.032688303391485596,0.021237977455005063,0.032309112013675464
