lehrkraft_id,n_records,mean_semantic_density,std_semantic_density,mean_polarity,mean_operator_count,mean_modulator_count,mean_drift,std_drift,dominance_change_rate,primary_dominant_dimension,mean_x_kognition,std_x_kognition,mean_x_sozial,std_x_sozial,mean_x_affektiv,std_x_affektiv,mean_x_motivation,std_x_motivation,mean_x_methodik,std_x_methodik,mean_x_performanz,std_x_performanz,mean_x_regulation,std_x_regulation,lehrkrafttyp,cluster,pca_1,pca_2,tsne_1,tsne_2
1,1948,3.4048028221878863,0.9091525923533821,0.9481519507186859,0.5462012320328542,0.07084188911704312,0.15334764159999428,0.37714908834641775,0.6646026831785345,kognition,0.47351751038468826,0.16108446386682884,0.1115715984930166,0.12128598814825074,0.16915013934560935,0.12449062266437873,0.342332633437101,0.1471589208428134,0.3882124404800493,0.12914361863408028,0.4242298387113673,0.1855588970811337,0.3535176801354856,0.1683030013466956,kognitiv verdichtend,0,0.9429692935157353,-0.18610064047846622,2.7864947,-23.15622
6,2,1.6502181043323652,0.658799423854735,1.0,0.5,0.0,0.2403397281454086,0.0,1.0,performanz,0.639858786146945,0.178152651255995,0.0,0.0,0.231121116616345,0.05259087688722501,0.14226768455113,0.14226768455113,0.4013877648555,0.08377068322195,0.47748789396576996,0.22532653841616,0.087374445534825,0.087374445534825,kognitiv verdichtend,3,-0.5779781332943599,2.1447180771392444,-19.807302,85.768684
7,7,1.7829261239855043,1.072118633056795,0.8571428571428571,0.14285714285714285,0.0,0.0893473770980708,0.12458712024787451,0.6,kognition,0.43325288284805713,0.24479642301865817,0.032985838602635716,0.03741622407893384,0.116738819834494,0.06665217082068953,0.25177157128956856,0.16580893958609919,0.33047318232948714,0.1487138866138157,0.37181193752133285,0.18852852102754458,0.3576428262541343,0.25502114082480737,kognitiv verdichtend,3,-0.38900032235148235,1.2031362024976904,-35.602352,112.18455
8,9,2.0840039879171766,1.1512662798108892,0.3333333333333333,1.7777777777777777,0.3333333333333333,0.7385113120547144,0.5222813337074489,0.875,kognition,0.09148640394428889,0.5625880739705702,0.06249463346534723,0.22281676774212175,0.038494141096552,0.20252269686185104,0.1250161577609878,0.3182640989394901,0.10837003351749679,0.37372269843753997,0.13014425540143887,0.4905093761014283,0.061450207379332246,0.22229380200493046,performanzzentriert,1,-6.578867086109947,-1.3524647412140274,-2.8976305,175.33055
10,4,2.0625489646991824,1.2899928904529958,1.0,0.25,0.25,0.11722233314693908,0.13901980473185022,0.3333333333333333,regulation,0.479349111139115,0.1983831347867895,0.03831542682787825,0.030927908411284274,0.1363868800847815,0.05699767224399685,0.30722194443289497,0.17890401394567038,0.381760138173845,0.06743471890322392,0.383417707989845,0.07673477226517395,0.44989872953588,0.27311992093223586,kognitiv verdichtend,0,0.6886198215052255,0.8485612247109129,95.7156,-46.9406
12,166,3.402845069363663,0.9793883594443155,0.9518072289156626,0.3192771084337349,0.030120481927710843,0.15354587801445466,0.38144102704236094,0.6242424242424243,kognition,0.4644583339113169,0.16426911132305108,0.1199416117598433,0.12061685968141488,0.16269090834863176,0.12124196944157035,0.3456100313214516,0.14846174276298382,0.3780456886628238,0.130261205985663,0.4362299031294842,0.1903649507591063,0.36529905880914865,0.1607248401018118,kognitiv verdichtend,0,1.0918708684682208,-0.15825302861328813,-19.852394,1.8074474
14,19,3.631942242142821,1.1841929226536627,1.0,0.42105263157894735,0.10526315789473684,0.11983099497292582,0.197550036332531,0.6111111111111112,motivation,0.4353040917354421,0.15252218725267463,0.1157918364027892,0.13099206698094212,0.2523340406748939,0.09448715988153032,0.4138984914381984,0.12698854066190554,0.34146172626090787,0.09759189270026393,0.45838805834906315,0.08155411352473053,0.37160441480097317,0.1251205360907031,performanzzentriert,0,1.6722165956422306,-1.2671636478415065,-46.91368,-67.57714
15,4,2.52418843147645,1.6428788537468788,0.75,0.5,0.0,0.3376824340412552,0.2408795870499369,0.5,kognition,0.4631179176012725,0.28819942377618996,-0.0139731818227465,0.07095521067503782,0.06917885662619801,0.057645348297754494,0.1373522141843625,0.21861860291433757,0.3209395574588175,0.18559145613904132,0.2717304344042075,0.19215375451879924,0.134741581389015,0.32572628751104615,kognitiv verdichtend,3,-2.41285426791949,2.0502533684563713,-7.4699006,125.805855
18,188,3.4156124849998712,0.8409851673669061,0.925531914893617,0.3723404255319149,0.0425531914893617,0.19593746061888667,0.45146429113255776,0.6470588235294118,kognition,0.4590367138778274,0.18289714212758743,0.10396617949382955,0.12739828919368193,0.17364951135777157,0.1310497617578301,0.337081222108561,0.1555848716393504,0.3744820496469023,0.14904083196301354,0.4331478432573765,0.19268811497715999,0.3416064100851884,0.19934647860377663,kognitiv verdichtend,0,0.8189419894431524,-0.19833094017920075,-6.0156345,17.700897
19,238,3.3235287079082965,0.9275979635125685,0.9663865546218487,0.5882352941176471,0.1092436974789916,0.15446185880468813,0.31909978995405097,0.6582278481012658,kognition,0.4787373363650719,0.1634683950030424,0.11799036774702941,0.1336072772263801,0.1613619174622363,0.11580232812423238,0.3346097684057029,0.1423660997761608,0.3886814811162785,0.1160802145840207,0.4250564848749015,0.19054397321427874,0.3678480956821905,0.15423748812870378,kognitiv verdichtend,0,0.9472077536907686,-0.1739654532369757,17.713951,-38.90954
