Datensatz,n,mittlere_Distanz_zum_Zentrum,median_Distanz_zum_Zentrum,Eigenwert_1,Eigenwert_2,Eigenwert_3,Anteil_Eigenwert_1,Gesamtvarianz
ALL,571,0.10469468642134153,0.09524961941514724,0.010563705147677786,0.0026837562616902084,0.000588447606346342,0.7236191567778033,0.014598432129294098
Lehrkraft 1,360,0.10318882974917108,0.09630438423176803,0.010779363169362734,0.002195856022526256,0.0005414930666073481,0.777166722243494,0.013870078145195534
nicht Lehrkraft 1,211,0.10660857195756168,0.09465456653362968,0.010429023183219066,0.003161809455680722,0.0010790771979975846,0.6662498844038003,0.015653320814534282
