gruppe,datum,d_x_kognition,d_x_sozial,d_x_affektiv,d_x_motivation,d_x_methodik,d_x_performanz,d_x_regulation,delta_norm
andere,2025-09-03,0.08631429703055316,0.06129851364307251,0.12974307313842373,0.035398589306459394,0.05049004834962434,0.03412104080241901,0.019466796388024343,0.1827195593482504
andere,2025-09-10,0.09726717676560187,-0.123033257139968,-0.165637401689545,-0.05782524700795799,0.04557190873300204,-0.0028222053593673913,-0.018579379851948963,0.24043200937636794
andere,2025-09-11,-0.06711243456678395,0.032965465110527004,0.08292104396609944,0.06933993548405998,-0.06452016692457696,0.018958688414593028,0.022279254933115,0.14930966464213646
andere,2025-09-15,-0.07304503990590788,-0.028608274357269016,-0.11478698565527025,-0.085722320387972,-0.054383280214654994,-0.09756147798508719,-0.06498778853365966,0.2082728386446821
andere,2025-09-16,0.08249815478362993,0.04396260228466834,0.08785277885956418,0.04762981230958002,0.10237027546753996,0.05166150493910482,0.030478497387656955,0.18111567825900543
andere,2025-09-17,-0.15436592176584002,-0.06929651004976534,-0.13827783572966776,-0.17140406510797201,-0.14112121697492996,-0.21491960232799065,-0.11586642065534525,0.39580502558469605
andere,2025-09-18,0.11230594609901046,0.03682382730974175,0.13151502774287566,0.13153545355788399,0.07733889513522663,0.25893461176711063,0.054369517807805745,0.3529176677217993
andere,2025-09-22,-0.09811836754489134,0.012620507627077088,-0.1677836182853977,-0.06319983590041289,-0.06896043096120447,-0.19928298119682114,0.007064867414911635,0.29402587142946546
andere,2025-09-24,0.06164591786512691,0.0013323521954481665,0.09462974953683906,0.18574098244400689,-0.01965328385191617,0.22963045169003649,0.14905144949163057,0.350127443816629
andere,2025-09-25,-0.031740807223975986,0.03845812745280899,0.001241445179775702,-0.11324367781880501,0.05726069774646997,-0.15476772935380195,-0.10729865913011499,0.23250165154109056
andere,2025-09-29,0.11045755449139993,-0.07730942444361483,0.04197596411941518,0.05666985570306199,0.02025577722559735,0.16838921349909242,0.03640920539271697,0.2307421212790783
andere,2025-09-30,-0.24837222490437794,0.16417509456246382,-0.05465535128612248,-0.082530782043231,-0.07214565486715335,-0.35697127171956844,-0.0005867016558129823,0.480702184055316
