datum,lehrkraft_id,wochentag,gruppe_id,id,ue_id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,teilnehmer_id,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,h_kognition,h_sozial,h_affektiv,h_motivation,h_methodik,h_performanz,h_regulation,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,created_at,gruppe,cluster
2025-09-01,12,1,0,2358,0,1568,2936,0,0.43697363840821,0.31432923474525,0.046982968609961,0.43014855236104,0.39172434957001,0.46458510363938,0.39207451324792,1.3901781638681,1.0,0.14947056594351,1.3684649877052,1.2462230879908,1.4780206620485,1.2473370908871,,,,,,,,6,4,performanz,1.4780206620485,1,3.1813676431278,2026-03-29 07:23:07,LK_other,1
2025-09-01,1,1,2,61,0,15,62,0,0.509073036833,0.41982227788682,0.039241212539895,0.38670431069667,0.31480059415551,0.41760078539937,0.37419029091786,1.8188876471567,1.5,0.14020651573357,1.3816714752841,1.1247637776873,1.4920627396242,1.3369596277788,,,,,,,,7,5,kognition,1.8188876471567,1,3.5729304536374,2026-03-29 07:22:27,LK_1,2
2025-09-01,1,1,2,166,0,136,248,0,0.34591945721043,0.34440151094191,0.3843904372272,0.45641937505151,0.30672134094438,0.36975181612233,0.4181553258634,1.5683794462265,1.5614971628556,1.7428047151058,2.069379885315,1.3906573823153,1.676434026833,1.8958928292239,,,,,,,,11,6,motivation,2.069379885315,1,4.5339339963113,2026-03-29 07:22:29,LK_1,2
2025-09-01,1,1,1,805,0,755,1183,0,0.46492427578391,0.078394790438274,0.093189595985237,0.39964643078831,0.41098392867489,0.44269931930026,0.49437171922438,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628,,,,,,,,8,7,regulation,2.3371925602628,1,4.7275916595967,2026-03-29 07:22:40,LK_1,1
2025-09-01,1,1,2,242,0,265,375,0,0.56538000548956,0.077001219270072,0.30223215448788,0.31944710606876,0.42933335298614,0.43544608907469,0.32723078057398,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566,,,,,,,,9,5,kognition,2.2065262410316,1,3.9027212950711,2026-03-29 07:22:30,LK_1,1
2025-09-01,22,1,0,2745,0,1807,3456,0,0.6071780415781,0.23205273209578,0.36177305619739,0.29189022905129,0.4386722049905,0.33686635392545,0.2355554148444,1.497714368025,0.5724,0.89237862229484,0.72,1.0820642699131,0.83094174003236,0.58104,,,,,,,,6,3,kognition,1.497714368025,1,2.4666707187762,2026-03-29 07:23:14,LK_other,2
2025-09-01,1,1,1,804,0,755,1182,0,0.56538000548956,0.077001219270072,0.30223215448788,0.31944710606876,0.42933335298614,0.43544608907469,0.32723078057398,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566,,,,,,,,9,5,kognition,2.2065262410316,1,3.9027212950711,2026-03-29 07:22:40,LK_1,1
2025-09-01,1,1,2,168,0,136,250,0,0.46492427578391,0.078394790438274,0.093189595985237,0.39964643078831,0.41098392867489,0.44269931930026,0.49437171922438,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628,,,,,,,,8,7,regulation,2.3371925602628,1,4.7275916595967,2026-03-29 07:22:29,LK_1,1
2025-09-01,1,1,1,806,0,755,1184,0,0.24033854153018,0.24762161320658,0.2201774041862,0.42607339354675,0.22516726037173,0.36724480917928,0.68214571501366,0.38532339625734,0.397,0.353,0.68310328427165,0.361,0.58878620228737,1.093651904426,,,,,,,,2,2,regulation,1.093651904426,1,1.6032426194262,2026-03-29 07:22:40,LK_1,2
2025-09-01,1,1,2,128,0,91,181,0,0.44314978249296,0.30509532088616,0.34730960706809,0.46600741987634,0.30841816600965,0.45036942817978,0.27347418519816,1.5494794089229,1.0667700541619,1.2143728958767,1.6294014575425,1.0783884285835,1.5747230009845,0.95620631122221,,,,,,,,7,4,motivation,1.6294014575425,1,3.4965039781999,2026-03-29 07:22:28,LK_1,2
2025-09-01,1,1,2,244,0,265,377,0,0.36614927243825,0.20229007568718,0.25982411983137,0.48407137756986,0.25707893616985,0.56403122731959,0.37276339827983,1.142816140348,0.63138282916163,0.81095667845437,1.5108717263958,0.80238847845301,1.7604404508269,1.1634599879125,,,,,,,,5,5,performanz,1.7604404508269,1,3.1211655051097,2026-03-29 07:22:30,LK_1,2
