id,gruppe_id,teilnehmer_id,datum,thema,lehrkraft_id,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,delta_d_semantisch,polaritaetswechsel,dominanzwechsel,kipppunkt_kandidat
823,3,2,2025-01-08,Gleichungssysteme:,14,performanz,1.9510897771911,1,3.8760917266977,0.43424935009182,0.2714361452646,0.16084112390584,0.43977827835666,0.35670810228745,0.50336392457206,0.37128701717181,3.8760917266977,True,True,True
822,1,2,2025-01-13,weitere Themen: Gleichungssysteme,8,kognition,-0.58392,-1,0.71382144994389,-0.8180082287575,0.0,-0.17852953944522,0.0,-0.48515654504606,-0.25216036644806,0.0,-3.16227027675381,True,True,True
821,3,2,2025-01-15,Lineare Funktion/Gleichung:,14,regulation,2.4350733036945,1,4.5772987610381,0.38717652016471,0.18900611280864,0.17742183846571,0.40387260131044,0.40340916167313,0.41716291578991,0.53198799356114,3.86347731109421,True,True,True
820,3,2,2025-01-22,Lineare Funktion/Gleichung:,14,kognition,1.1133431751098,1,2.2331327512708,0.49855441371863,0.2685905419827,0.24152203424276,0.4601119378958,0.32213179244245,0.38234467361214,0.39912583453127,-2.3441660097673,False,True,True
819,1,2,2025-02-10,weitere Themen: Arb.Aufg.,1,performanz,1.0,1,1.2396455138466,0.24522941785392,0.0,0.28233650081865,0.35332396388163,0.19360217198993,0.80667571662473,0.21699576777205,-0.9934872374242001,False,True,True
817,3,2,2025-04-30,Geometrie: Ähnl SachAufg,1,motivation,1.4855528312733,1,3.2665174874432,0.44162358207525,0.028043641757625,0.21705343637571,0.45478044712127,0.45160229339963,0.41093781527311,0.42121737198262,2.0268719735965997,False,True,True
812,1,2,2025-08-25,Weitere Themen: JahrAbschl,1,kognition,2.3289522253193,1,4.3258647160129,0.53837717876996,0.045037687757293,0.091400304366745,0.36030747239073,0.39133916782648,0.46224732450067,0.45069121706779,1.0593472285696999,False,True,True
813,1,2,2025-08-25,Weitere Themen: JahrAbschl,1,kognition,2.2069589158005,1,3.916840808544,0.5634523814352,0.076723644298226,0.31177537024684,0.31845471584113,0.42787289584912,0.43423975906972,0.32614892186079,-0.40902390746889994,False,False,True
814,1,2,2025-08-25,Weitere Themen: JahrAbschl,1,regulation,1.9126138920563,1,4.0164817262936,0.4588553814492,0.047909025290553,0.09026084042588,0.38084333672938,0.45894389366437,0.44336919087771,0.47619017351276,0.09964091774960027,False,True,True
815,1,2,2025-08-25,Weitere Themen: JahrAbschl,1,regulation,1.6593102589405,1,3.445161991689,0.35697457681494,0.30867452774446,-0.051124322883014,0.44905706607895,0.45666641004076,0.36400878395462,0.48163350420338,-0.5713197346046002,False,False,True
816,1,2,2025-08-25,Weitere Themen: JahrAbschl,1,performanz,1.8490362237485,1,3.7094848636328,0.4447525791376,0.057996141719878,0.17100853369173,0.35040530339462,0.42589653003669,0.49846038118992,0.46577655391603,0.2643228719438002,False,True,True
808,3,2,2025-08-27,Weitere Themen: JahrAbschl,1,kognition,2.2176040705498,1,4.1959607750546,0.52850798764701,0.033057437189919,0.11991473533283,0.3111460283294,0.50972860238967,0.43980333406568,0.39387831994598,0.48647591142180024,False,True,True
809,3,2,2025-08-27,Weitere Themen: JahrAbschl,1,methodik,1.3071304723696,1,2.3428052989296,0.51447576205092,0.042683689169047,0.09160513239389,0.31116409404235,0.55793150786012,0.39453333050523,0.40165351508073,-1.8531554761250004,False,True,True
810,3,2,2025-08-27,Weitere Themen: JahrAbschl,1,performanz,1.7185730315922,1,3.4752254188631,0.31877151424459,0.19146773728403,0.17310725067521,0.46890082280075,0.38408892483263,0.49451988842658,0.46883978948033,1.1324201199335002,False,True,True
811,3,2,2025-08-27,Weitere Themen: JahrAbschl,1,motivation,0.85188551646247,1,1.5890209998845,0.33406255970934,0.45645506608696,0.46047891028742,0.53610377426518,0.18684581263477,0.36274856741847,0.11871153327529,-1.8862044189786003,False,True,True
803,1,2,2025-09-01,Geometrie: SdP,1,regulation,2.2831943720438,1,4.6221765003632,0.42028364349602,0.07674949586674,0.058605948586205,0.41798896030911,0.44907287797465,0.44005726793527,0.4939641383714,3.0331555004787,False,True,True
804,1,2,2025-09-01,Geometrie: SdP,1,kognition,2.2069589158005,1,3.916840808544,0.5634523814352,0.076723644298226,0.31177537024684,0.31845471584113,0.42787289584912,0.43423975906972,0.32614892186079,-0.7053356918192004,False,True,True
805,1,2,2025-09-01,Geometrie: SdP,1,regulation,2.3358286965014,1,4.766014081322,0.46034606997404,0.12046710266232,0.13530206615574,0.39610570126781,0.40717581938225,0.43859820175407,0.49010006173814,0.8491732727780001,False,True,True
806,1,2,2025-09-01,Geometrie: SdP,1,regulation,1.0959483968476,1,1.6538928464461,0.23508177141809,0.28196494490937,0.27712264868538,0.4160507871843,0.21827158758189,0.35858859808376,0.66264375758378,-3.1121212348759,False,False,True
807,1,2,2025-09-01,Geometrie: SdP,1,motivation,1.2623925324906,1,2.6261746889041,0.41358193012077,0.4120300862581,0.035560809429602,0.48069449868637,0.29942201539725,0.42667263452277,0.39387653764832,0.9722818424580002,False,True,True
798,3,2,2025-09-03,Geometrie: rechtwDr,1,kognition,2.4326861730502,1,4.9394420737157,0.49250122012423,0.065627662434388,0.11087900069211,0.40607281181281,0.40499815995921,0.44606679359696,0.46145761870759,2.3132673848115997,False,True,True
799,3,2,2025-09-03,Geometrie: rechtwDr,1,methodik,1.3071304723696,1,2.3428052989296,0.51447576205092,0.042683689169047,0.09160513239389,0.31116409404235,0.55793150786012,0.39453333050523,0.40165351508073,-2.5966367747861,False,True,True
800,3,2,2025-09-03,Geometrie: rechtwDr,1,regulation,1.9126138920563,1,4.0164817262936,0.4588553814492,0.047909025290553,0.09026084042588,0.38084333672938,0.45894389366437,0.44336919087771,0.47619017351276,1.6736764273640001,False,True,True
801,3,2,2025-09-03,Geometrie: rechtwDr,1,performanz,1.5583528329756,1,2.4727359267413,0.42450201381654,0.020128723815308,0.15990248555212,0.38637338240925,0.27902517895313,0.63021146496408,0.41171598220526,-1.5437457995523003,False,True,True
