operator,n,mean_delta_norm
nie,5,6.14758540907917
kein,3,5.609696494341378
keine,7,4.757092193798693
unbedingt,2,3.434805251825659
fast,13,2.5375336689531434
ausnahmslos,6,2.378994086408974
nicht,60,2.306373472529931
bedingt,42,2.2899807810457307
stark,34,2.237130291676658
relativ,2,2.199868715678204
sofort,14,2.1536017007178896
ziemlich,16,2.151802257298426
weniger,39,2.1275073284646484
oftmals,28,2.1148169140043587
aber,4,2.030255686552173
