operator,n,mean_delta_norm
nie,5,6.14758540907917
kein,3,5.609696494341378
keine,6,4.16952416235076
ausnahmslos,3,3.1222959551582097
bedingt,8,2.4837027398774447
nicht,28,2.359158607725529
stark,8,2.251082915770699
ziemlich,2,2.1352202204658233
sehr,44,2.0441133247766197
eher,11,2.031892927287122
aber,4,2.030255686552173
selten,24,1.9761327925891106
sofort,5,1.973354744213016
wenig,20,1.9724995651574744
besonders,16,1.9659513735787522
