gruppe,datum,X_kmp,Y_samr
andere,2025-09-01,1.175262788796337,0.89094839027623
andere,2025-09-03,1.3461881749789333,1.13685536275221
andere,2025-09-10,1.48620505511817,0.77178007706279
andere,2025-09-11,1.373531142041402,0.9792857765565914
andere,2025-09-15,1.1485413439357517,0.6851804076224206
andere,2025-09-16,1.3850712791260265,0.8951040984638899
andere,2025-09-17,0.8746645380572661,0.40025926692113967
andere,2025-09-18,1.3232439910586138,0.7545030933394467
andere,2025-09-22,0.9568822113556966,0.543205014195625
andere,2025-09-24,1.228505297058944,0.9739595478635497
andere,2025-09-25,1.099257458227636,0.7931167835472144
andere,2025-09-29,1.3983600034437258,0.8508623843187936
andere,2025-09-30,0.720870851952626,0.877264643896091
andere,2025-10-01,1.389679096015815,1.0054080885697878
andere,2025-10-02,1.318213976828765,1.1365999110153282
andere,2025-10-09,1.411763737758195,0.9607100469221195
andere,2025-10-13,1.466931461409985,0.8547201905150225
andere,2025-10-16,0.9650868943805908,0.5845676372710855
andere,2025-10-20,1.5010253521254775,0.805566472516741
andere,2025-10-23,1.2614349816041956,1.1328052373619377
andere,2025-10-27,0.9814401522497967,0.5126321634384964
andere,2025-10-28,1.4008336018550456,0.9466542913805674
andere,2025-10-29,1.381609882486822,1.0025901267212007
andere,2025-10-30,1.4452250371878266,0.7748982671642106
andere,2025-11-03,1.225420057117323,0.8186589317159959
andere,2025-11-04,1.366427847895934,1.0376111909273127
andere,2025-11-05,1.292047008013,1.0717419386305789
andere,2025-11-06,0.9709983436220669,0.3267599038298375
andere,2025-11-10,1.4208168235968461,0.9193831041101173
andere,2025-11-11,1.3331341758090023,1.0239430165881815
andere,2025-11-12,1.360184623777084,0.9516521572774199
andere,2025-11-13,1.332165763822519,1.002390822360268
andere,2025-11-17,1.3543261997826601,0.9504920798700194
andere,2025-11-18,1.23827603435938,1.1416020071771513
andere,2025-11-20,1.3775214379892025,0.5902459733875592
andere,2025-11-24,1.2012207509191628,0.8002255137804649
andere,2025-11-25,1.336841753830799,1.0649901300260143
andere,2025-11-26,1.239932772742046,1.1690124910530209
andere,2025-11-27,1.224565646202602,1.1769982695429704
andere,2025-12-01,1.2735986489136,1.067627862331995
andere,2025-12-02,1.358077374972345,1.0427504617137013
andere,2025-12-03,1.36953089255012,1.000318896875366
andere,2025-12-08,1.3587473631548306,0.970691467818812
andere,2025-12-09,1.3596535442378475,1.0007560396445516
andere,2025-12-10,1.3438830319721395,0.8733594818336892
andere,2025-12-11,1.42897957812701,0.9123138285313803
andere,2025-12-12,1.2349862292732279,0.8984732807081607
andere,2025-12-15,1.330267686875196,1.046660013369267
andere,2025-12-16,1.3012011615917143,1.0618149955298661
andere,2025-12-17,1.3283278862678303,0.94596299381587
andere,2025-12-18,1.309962569597394,1.0950120025491292
andere,2025-12-22,1.303293792399491,1.1072288154494494
andere,2025-12-23,1.3221257482955218,0.9567970963518181
andere,2026-01-05,1.3033517684227065,1.1179653471986577
andere,2026-01-06,1.1791022890380058,0.8218125336080639
andere,2026-01-07,1.2632993773215246,1.0067657004275155
andere,2026-01-08,1.3061311366393589,0.9336079092263545
andere,2026-01-09,1.36657889373624,1.0177659113451814
andere,2026-01-12,1.338713122576733,1.0133123512662383
andere,2026-01-13,1.375812428930624,0.9582715276842584
andere,2026-01-14,1.3460998089765224,1.012156326252629
andere,2026-01-15,1.3527136729783327,0.9967107799263467
andere,2026-01-19,1.3233774604497237,1.0443920413358467
andere,2026-01-20,1.2562129290095705,0.7600558920061972
andere,2026-01-21,1.2678661391802213,0.9161438093686883
andere,2026-01-22,1.2962423257964726,0.9211393790748326
andere,2026-01-23,1.315412238302531,1.067046489651128
andere,2026-01-26,1.3292879032816378,1.0146909239471342
andere,2026-01-27,1.340896758120043,1.0572320827317163
andere,2026-01-28,1.2760651091757018,1.047204091217876
andere,2026-01-29,1.1225735883299988,0.8293635773283484
lehrkraft_1,2025-09-01,1.3360279400475659,1.0160143321072492
lehrkraft_1,2025-09-02,1.347009042793058,0.9708733314371844
lehrkraft_1,2025-09-03,1.298259319457317,0.9102434048669329
lehrkraft_1,2025-09-04,1.2774314976238623,0.9587520364356489
lehrkraft_1,2025-09-05,1.31289587689175,1.0564206611131393
lehrkraft_1,2025-09-08,1.407724385256909,0.9435341394794167
lehrkraft_1,2025-09-09,1.2109956729621176,0.7960497034447337
