intervention,n,mean_delta_norm,mean_abs_delta_dichte,mean_delta_dichte,mean_cosine_shift,dominanzwechsel_rate,polaritaetswechsel_rate,delta_kognition,delta_sozial,delta_affektiv,delta_motivation,delta_methodik,delta_performanz,delta_regulation
emotionale_stuetzung,694,0.45973536972473084,0.968084959649599,-0.03151645313441658,0.21029472166717547,0.7060518731988472,0.08357348703170028,-0.011912899116052143,0.003046827983802017,-0.0020000628791661235,-0.006370658703134538,-0.010544146349124912,-0.017933239881549913,-0.01179397739391172
metakognition,1500,0.4173250528133175,0.9176553767351417,-0.010201311543468873,0.16938612492037927,0.664,0.06,-0.0028055664151903905,0.005578238551592307,0.003075653728341984,0.0016725043667534126,-0.0018192731090157853,-0.002889894725917581,0.001158087090804721
lob,1021,0.4003489583202431,0.8643562804412823,-0.027263691376311752,0.15350608956878323,0.7306562193927522,0.050930460333006855,-0.006948860258797912,0.0023818100945864557,0.006311293859444696,0.0005753601971607314,-0.006198770332198485,0.0007668246757516238,-0.0016439332363042708
aktivierungsfragen,416,0.39873024359310794,1.0148586626149745,-0.05124290875323101,0.14178975678053576,0.6826923076923077,0.040865384615384616,-0.0025499109394469957,0.007212805676212389,0.0052742621231762574,-0.00022508400324004432,-0.002054458304033742,-0.0028356961283912824,0.003105315750904436
ohne_klassifizierte_intervention,116,0.38794690848875607,0.9970843741843431,-0.060904492985066366,0.11540070852936474,0.6379310344827587,0.017241379310344827,0.006405895591354314,0.012371302330533821,-0.007106021542131303,-0.003232164268342872,0.007189360176344053,-0.002825609067499059,-0.007529949716350028
regelhinweise,334,0.3613820220282741,0.9016990318245435,0.008964953180514379,0.11842853510596875,0.7005988023952096,0.03592814371257485,-0.00877108417272252,0.003766623058140722,0.0056911509732375624,0.0041667016445416285,-0.00525415519807104,0.005412563109809464,0.004686406755414681
strukturierung,471,0.35148291044060775,0.9177000756083405,0.06079371749819238,0.10892407298725126,0.6794055201698513,0.029723991507430998,0.0033055428859875605,0.0007644458630309204,-0.0014717988936391291,0.0026185761115247665,0.006249798354147743,0.0016422009288931307,0.0038110201853517704
