scope,gruppe,n_gesamt,operatorhaltige_saetze,anteil_operatorhaltig,mean_dichte_ohne_operator,mean_dichte_mit_operator,delta_mean_dichte,var_dichte_ohne_operator,var_dichte_mit_operator,delta_var_dichte,mean_delta_vector_ohne_operator,mean_delta_vector_mit_operator,delta_delta_vector,mean_polaritaet_shift_ohne_operator,mean_polaritaet_shift_mit_operator,delta_polaritaet_shift
alle_lehrkraefte,Alle Lehrkräfte,3108,1274,0.4099099099099099,3.4398926913357024,3.2831737414138,-0.1567189499219026,0.7798837961135112,0.9810106609429853,0.20112686482947406,0.40886059938870906,0.45106660574735985,0.042206006358650794,0.09978189749182116,0.11695447409733124,0.01717257660551008
lehrkraft_1,Lehrkraft 1,1948,826,0.4240246406570842,3.4661945407201546,3.321411165779648,-0.14478337494050653,0.7762503203584072,0.8848319119215289,0.10858159156312164,0.40879690435179755,0.43258508201061596,0.02378817765881841,0.10249554367201426,0.09564164648910412,-0.006853897182910143
alle_ausser_lehrkraft_1,Nicht Lehrkraft 1,1160,448,0.38620689655172413,3.398445114075371,3.2126734902392653,-0.1857716238361058,0.7838974090611933,1.153033246230546,0.3691358371693526,0.40896097274743753,0.48514191513698135,0.07618094238954382,0.09550561797752809,0.15625,0.06074438202247191
