strategie,n,cosine_mean,score_mean,high_share,negative_share
exact_sync,71,0.8468648815353574,0.8063682953458541,0.9436619718309859,0.014084507042253521
temporal_window,87,0.8518860644397647,0.7987356967567422,0.9540229885057471,0.011494252873563218
recursive_lag_1,117,0.8587852364701327,0.7338075868705253,0.9401709401709402,0.008547008547008548
recursive_lag_2,102,0.8706392544712604,0.6337164303511241,0.9607843137254902,0.0
recursive_lag_3,76,0.8833636533308524,0.624825775005199,0.9736842105263158,0.0
semantic_neighborhood,628,0.8823278602178641,0.6535768709752503,1.0,0.0
