datum,teilnehmer_id,gruppe_id,cosine_similarity,klasse,lehrer_dichte,teilnehmer_dichte,emotion_valenz,emotion_aktivierung,teilnehmer_dominante_dimension,lk_kognition,tn_kognition,delta_kognition,lk_sozial,tn_sozial,delta_sozial,lk_affektiv,tn_affektiv,delta_affektiv,lk_motivation,tn_motivation,delta_motivation,lk_methodik,tn_methodik,delta_methodik,lk_performanz,tn_performanz,delta_performanz,lk_regulation,tn_regulation,delta_regulation
2025-09-08,16,2,0.8835510821251505,hoch,3.865718572828225,1.9266454054326,0.75,0.6,methodik,0.49188389727464,0.25841410088398,0.23346979639066,0.15333254098600352,0.42069304143011,-0.2673605004441065,0.141250285723174,0.41234595727475,-0.271095671551576,0.3690423372703925,0.44365294304186,-0.0746106057714675,0.45026204084418,0.4644014093709,-0.014139368526720042,0.42913926739266,0.31142212157813,0.11771714581453002,0.36530979621347254,0.27700178182476,0.08830801438871255
2025-09-08,20,2,0.9484270420635115,hoch,3.8023831622578994,1.9604465177275,0.76666666666667,0.46666666666667,methodik,0.5320080773069661,0.3494644594658,0.18254361784116607,0.1551809495430666,0.34900749384375,-0.1938265443006834,0.20902246131950802,0.35757702727483,-0.14855456595532196,0.34973749840019797,0.35621136647309,-0.0064738680728920195,0.4409568892422421,0.51008787561778,-0.06913098637553794,0.413121251401628,0.3629927673001,0.05012848410152798,0.3082654408384146,0.3307069726922,-0.02244153185378539
2025-09-08,21,2,0.9061286838631631,hoch,3.449797199504475,1.9295280949248,0.80666666666667,0.48333333333333,methodik,0.47635842523196,0.36829642407033,0.10806200116163,0.13605753003213775,0.40915376452818,-0.27309623449604226,0.23573257471564749,0.35467827785097,-0.11894570313532252,0.40523047767610754,0.28082091833555,0.12440955934055753,0.3374153645443775,0.51826143506903,-0.1808460705246525,0.5061058321779874,0.32059893425201,0.1855068979259774,0.3311824100625125,0.34772874381537,-0.016546333752857523
2025-09-15,2,1,0.7806379813628087,hoch,3.76502857314224,0.95914367859819,-0.125,0.50833333333333,methodik,0.47403068864816394,0.40372892069248,0.07030176795568394,0.1514091362629702,0.5439634765183,-0.3925543402553298,0.14765424006864122,0.015754041789359,0.13190019827928223,0.39271353078555,0.2094750462734,0.18323848451215,0.42221294011534605,0.62555799799604,-0.2033450578806939,0.44547294462210196,0.32490221601345,0.12057072860865198,0.39475134295153,-0.0097184903260099,0.40446983327753994
2025-09-15,16,2,0.8777057583330966,hoch,2.9043367798229798,1.6168957220315,0.66666666666667,0.56666666666667,sozial,0.4380433424021216,0.24475584616495,0.19328749623717162,0.1276787540365894,0.49477525891409,-0.3670965048775006,0.19552636635409656,0.38295736629115,-0.18743099993705345,0.328294541116978,0.40189036655776,-0.07359582544078203,0.383584751338196,0.48175485736372,-0.098170106025524,0.285923227227676,0.29628983527995,-0.010366608052274018,0.351958088536152,0.25931524730587,0.09264284123028199
2025-09-15,20,2,0.8960580046489008,hoch,4.08776761866818,1.7498328045174,0.2,0.775,methodik,0.47049610738854397,0.34288990245704,0.12760620493150399,0.11184877013722638,0.44515531196177,-0.3333065418245436,0.1519085304159284,0.24359470153719,-0.09168617112126162,0.39580175865643596,0.31985198713571,0.07594977152072596,0.4030315364245641,0.57148317076173,-0.16845163433716598,0.492115872103294,0.34288990245704,0.149225969646254,0.394738779064422,0.28009478738405,0.11464399168037198
2025-09-15,21,2,0.8800957986742626,hoch,2.6289961377841724,1.9949766814554,0.7,0.3,methodik,0.4522197751055825,0.35194780257296,0.10027197253262249,0.10463132292301475,0.44849488717032,-0.34386356424730524,0.10039764866528751,0.32461160989388,-0.2242139612285925,0.39880932878413755,0.2394108421514,0.15939848663273756,0.39999706648584177,0.5012589915433,-0.10126192505745824,0.4715741568725475,0.36137276134517,0.11020139552737751,0.3191860936359475,0.36117029443304,-0.041984200797092475
2025-09-15,23,2,0.9270145698493347,hoch,3.0585259545856998,1.4014426935427,0.506,0.53,sozial,0.41801609214167995,0.27631100726494,0.14170508487673994,0.23109808275659577,0.48929170517245,-0.25819362241585425,0.2839004114391198,0.3472647463119,-0.0633643348727802,0.46604759800038204,0.34587734098213,0.12017025701825201,0.329148591186,0.48070764016943,-0.15155904898343003,0.410685036059932,0.3086520349489,0.10203300111103203,0.2947839215786102,0.34303935642325,-0.04825543484463979
2025-09-22,2,1,0.8889580847909911,hoch,3.6104835920823,1.7119970175957,0.8025,0.53125,performanz,0.542894483891774,0.34052554827604,0.202368935615734,0.08104951881704839,0.40721032196347,-0.3261608031464216,0.16023334433337202,0.41034401598141,-0.250110671648038,0.329272657265898,0.36254652589155,-0.033273868625652014,0.419586832882788,0.39350781760059,0.02607901528219797,0.489553102612916,0.41567123029248,0.07388187232043603,0.340286657580886,0.30127883164279,0.039007825938095986
2025-09-22,16,2,0.8521500152401409,hoch,3.511106132792,1.7920220385623,0.75,0.6,methodik,0.53399570879529,0.15909758735354,0.37489812144175005,0.20852110558962075,0.45229706883932,-0.24377596324969927,0.295319194663634,0.38545326200869,-0.09013406734505602,0.3810187800420375,0.37069059398844,0.010328186053597477,0.38244707827448754,0.49928897209536,-0.11684189382087246,0.40912544377107996,0.21542509138013,0.19370035239094996,0.26438254937656247,0.43408770632761,-0.16970515695104754
