from;kognition;sozial;affektiv;motivation;methodik;performanz;regulation
kognition;0.5130616509926855;0.0020898641588296763;0.0;0.10344827586206896;0.03970741901776385;0.2309299895506792;0.11076280041797283
sozial;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.3333333333333333
affektiv;0.0;0.0;0.0;0.0;0.0;0.0;0.0
motivation;0.47674418604651164;0.0;0.0;0.06976744186046512;0.01744186046511628;0.2616279069767442;0.1744186046511628
methodik;0.515625;0.0;0.0;0.0625;0.0;0.25;0.171875
performanz;0.5331858407079646;0.0022123893805309734;0.0;0.07079646017699115;0.03761061946902655;0.23672566371681417;0.11946902654867257
regulation;0.4533898305084746;0.0;0.0;0.09745762711864407;0.025423728813559324;0.2966101694915254;0.1271186440677966
