from;kognition;sozial;affektiv;motivation;methodik;performanz;regulation
kognition;201;4;0;30;13;144;73
sozial;4;0;0;1;0;2;1
affektiv;0;0;0;0;0;0;0
motivation;39;0;0;11;1;20;12
methodik;13;0;0;2;0;4;5
performanz;139;2;0;24;9;96;45
regulation;63;2;0;19;2;49;21
