from;kognition;sozial;affektiv;motivation;methodik;performanz;regulation
kognition;491;2;0;99;38;221;106
sozial;2;0;0;0;0;0;1
affektiv;0;0;0;0;0;0;0
motivation;82;0;0;12;3;45;30
methodik;33;0;0;4;0;16;11
performanz;241;1;0;32;17;107;54
regulation;107;0;0;23;6;70;30
