from;kognition;sozial;affektiv;motivation;methodik;performanz;regulation
kognition;0.432258064516129;0.008602150537634409;0.0;0.06451612903225806;0.02795698924731183;0.3096774193548387;0.15698924731182795
sozial;0.5;0.0;0.0;0.125;0.0;0.25;0.125
affektiv;0.0;0.0;0.0;0.0;0.0;0.0;0.0
motivation;0.46987951807228917;0.0;0.0;0.13253012048192772;0.012048192771084338;0.24096385542168675;0.14457831325301204
methodik;0.5416666666666666;0.0;0.0;0.08333333333333333;0.0;0.16666666666666666;0.20833333333333334
performanz;0.44126984126984126;0.006349206349206349;0.0;0.0761904761904762;0.02857142857142857;0.3047619047619048;0.14285714285714285
regulation;0.40384615384615385;0.01282051282051282;0.0;0.12179487179487179;0.01282051282051282;0.3141025641025641;0.1346153846153846
