from;kognition;sozial;affektiv;motivation;methodik;performanz;regulation
kognition;692;6;0;129;51;365;179
sozial;6;0;0;1;0;2;2
affektiv;0;0;0;0;0;0;0
motivation;121;0;0;23;4;65;42
methodik;46;0;0;6;0;20;16
performanz;380;3;0;56;26;203;99
regulation;170;2;0;42;8;119;51
