perspektive,gruppe_id,zeitphase,d_semantisch_count,d_semantisch_mean,d_semantisch_std,d_semantisch_min,d_semantisch_max,d_semantisch_mean_count,d_semantisch_mean_mean,d_semantisch_mean_std,d_semantisch_mean_min,d_semantisch_mean_max,streuung_gesamt_count,streuung_gesamt_mean,streuung_gesamt_std,streuung_gesamt_min,streuung_gesamt_max,kohaerenz_index_count,kohaerenz_index_mean,kohaerenz_index_std,kohaerenz_index_min,kohaerenz_index_max,konflikt_index_count,konflikt_index_mean,konflikt_index_std,konflikt_index_min,konflikt_index_max,polaritaet_spannung_count,polaritaet_spannung_mean,polaritaet_spannung_std,polaritaet_spannung_min,polaritaet_spannung_max
alle_lehrkraefte,0,abwesenheit_vertretung,15,3.538423380951153,0.2971546618258853,2.8412188903361,3.89185518068,15,3.6062675822568666,0.29102312129455626,2.9341966631062,3.9533922088911,15,0.8563120875521839,0.1824611106994382,0.43359513769499,1.1157909205105,15,0.5439724362342987,0.05798583409343752,0.47263649272053,0.69754700870976,15,0.5994184612865248,0.127722777489602,0.30351659638649,0.78105364435733,15,0.0,0.0,0.0,0.0
alle_lehrkraefte,0,nach_rueckkehr,19,3.284477598887137,0.6373147508629102,1.0497747011085,3.890040206499,19,3.4138976148383793,0.4679552182109896,2.0224787329435,3.9975768565636,19,0.9810971377381646,0.24147044445172114,0.6258045470161,1.7283804214657,19,0.5110373099586301,0.05512922757687576,0.36651780379761,0.61508008563227,19,0.6908869895517252,0.18287138884573717,0.43806318291127,1.2881271645912,19,0.013729977116704739,0.0598475827488419,0.0,0.26086956521739
alle_lehrkraefte,0,vor_abwesenheit,125,2.878271563266291,1.0471574053560695,0.0,4.9479290670833,125,3.0366979306160067,1.0503435450184453,0.0,4.9479290670832,125,0.7646630026863875,0.7205268609479382,0.0,4.2569839273571,125,0.6618428974113614,0.2580752655474636,0.19022314197995,1.0,125,0.543374752898708,0.5230666024026787,0.0,3.06988874915,125,0.027035503394124104,0.09461885821712952,0.0,0.77777777777778
alle_lehrkraefte,1,abwesenheit_vertretung,3,3.6214999199664333,0.3061434121527758,3.2945631568818,3.901407356436,3,3.6910032515234334,0.3057405134445168,3.3559480586876,3.9548676263628,3,0.9218720028695767,0.09075523002619498,0.82571863366117,1.0060375911633,3,0.5211084139572367,0.02486067458982206,0.49849514505862,0.54772952500061,3,0.6453104020087034,0.0635286610183359,0.57800304356282,0.70422631381431,3,0.0,0.0,0.0,0.0
alle_lehrkraefte,1,nach_rueckkehr,9,3.3815302494419557,0.5974865921896565,2.0478479471188,3.9775372464938,9,3.456793870331622,0.5812920194903336,2.1635381154003,4.0074203613371,9,0.8718717378441133,0.11973847144078495,0.70236993478715,1.0831029752003,9,0.5361676250750923,0.03424702451088114,0.48005308038304,0.58741638909702,9,0.6103102164908834,0.08381693000855436,0.49165895435101,0.75817208264024,9,0.0,0.0,0.0,0.0
alle_lehrkraefte,1,vor_abwesenheit,39,3.2757220614083664,0.8873492069619918,0.0,4.5519806168613,39,3.419998973029236,0.897667233990669,0.0,4.5924410530365,39,1.0162617653733501,0.47271813753033487,0.0,2.4212823522952,39,0.5281329426095392,0.15531169224301986,0.29228806541767,1.0,39,0.7182774665305794,0.3463666975372195,0.0,1.7948976466067,39,0.02298076923076923,0.07260318192349474,0.0,0.33333333333333
alle_lehrkraefte,2,abwesenheit_vertretung,10,3.2577282842776496,0.47088564809623135,2.5595437396033,4.0414546204158,10,3.51563069845733,0.4262860578934405,2.707496540397,4.1268938161252,10,1.257647772390246,0.4747652056717923,0.80458625936926,2.3400993168333,10,0.458104318190392,0.08159609496509282,0.2993922950016,0.5541436408529,10,0.8916819430886219,0.35205598083746853,0.56321038155848,1.6991806328944,10,0.037761674718196005,0.07991766931539783,0.0,0.2037037037037
alle_lehrkraefte,2,nach_rueckkehr,8,3.392758737687025,0.20117148939163276,3.17053346293,3.7098105175155,8,3.4709274500596,0.2023353105302474,3.2466757362397,3.7862291871979,8,0.9518702355396987,0.1508298089682536,0.7569139123757,1.1233826498632,8,0.5150433550612512,0.0401761811010501,0.47094667560953,0.56917985164555,8,0.66630916487779,0.10558086627777846,0.52983973866299,0.78636785490421,8,0.0,0.0,0.0,0.0
alle_lehrkraefte,2,vor_abwesenheit,108,3.2436848888874232,0.9173352603503042,0.0,4.2243906380189,108,3.4003550314725204,0.8589297664241813,0.0,4.2930322691041,108,0.9418197513234157,0.4881107174053776,0.0,2.4764505139917,108,0.553321813872049,0.16881077328734276,0.28764971512619,1.0,108,0.666977450795961,0.3601250155239856,0.0,1.7909621683048,108,0.025678749565227556,0.09739489854608979,0.0,0.71428571428571
alle_lehrkraefte,3,abwesenheit_vertretung,5,3.07573705526028,0.5510700750174552,2.2615710564425,3.7357563989282,5,3.17206743576518,0.5101599635610923,2.3783883360296,3.7583025679886,5,1.046536489828468,0.36044762044363143,0.82312191404326,1.6827248878553,5,0.498798977692718,0.0723142103901685,0.37275532967507,0.54850967030627,5,0.732575542879926,0.25231333431053776,0.57618533983028,1.1779074214987,5,0.0,0.0,0.0,0.0
