perspektive,id,id_mtr_rueckkopplung_datenmaske,datum,lehrkraft_id,gruppe_id,satz_anzahl,token_anzahl_gesamt,funktionsklassen_anzahl_gesamt,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,dominante_dimension,dominante_dimension_wert,dominante_dimension_anteil,polaritaet_gesamt,polaritaet_spannung,d_semantisch,d_semantisch_mean,d_semantisch_max,streuung_gesamt,kohaerenz_index,konflikt_index,zeitphase,ist_fokusgruppe_4,ist_lehrkraft_1_thiele,tage_zum_ereignis_080126
alle_lehrkraefte,589,1710,2023-12-04,36,0,1,1,1,0.0,0.5012089587606,0.47283864034019,0.63045152045358,0.0,0.31459530870634,0.16959145900201,0.0,0.795,0.75,1.0,0.0,0.499,0.269,motivation,1.0,0.30184123151222,1,0.0,1.5861547843764,1.5861547843764,1.5861547843764,0.0,1.0,0.0,vor_abwesenheit,0,0,-766
alle_lehrkraefte,588,1709,2023-12-11,36,0,1,2,2,0.19007534731641,0.33608286949943,0.31705931084852,0.57996767499582,0.18032789360788,0.41198079716444,0.4601910203311,0.44962095611006,0.795,0.75,1.3719065845528,0.42656347118134,0.97453563828931,1.0885763434124,motivation,1.3719065845528,0.23426554476762,1,0.0,2.3654780154531,2.3654780154531,2.3654780154531,0.0,1.0,0.0,vor_abwesenheit,0,0,-759
alle_lehrkraefte,587,1707,2023-12-18,36,0,1,23,7,0.42861166783918,0.067278353473262,0.16109029288319,0.40776774432032,0.38216693612708,0.51637264104704,0.45480164000885,2.0206399572948,0.31717598817232,0.75944148737973,1.9223736993058,1.8016816606706,2.4343788787033,2.1441095411101,performanz,2.4343788787033,0.21354573060492,1,0.0,4.7143739258547,4.7143739258547,4.7143739258547,2.2204460492503e-16,1.0,1.5543122344752e-16,vor_abwesenheit,0,0,-752
alle_lehrkraefte,586,1706,2023-12-20,34,4,1,5,3,0.2570329139412,0.0,0.35052814996317,0.65386300441248,0.23229114057317,0.35941121124614,0.44764279361541,0.67593321635133,0.0,0.92180264462353,1.7194985531183,0.61086845015291,0.94516290651364,1.1771902229385,motivation,1.7194985531183,0.28419321699211,1,0.0,2.6297435439604,2.6297435439604,2.6297435439604,1.1102230246252e-16,1.0,7.7715611723761e-17,vor_abwesenheit,1,0,-750
alle_lehrkraefte,585,1701,2024-01-15,37,0,3,19,9,0.48641988732027,0.0,0.17283859497569,0.33061781346532,0.35722365012476,0.49913290004209,0.28584157347971,1.118598502458,0.0,0.44942262984592,1.0965823101843,0.89468694207901,1.4638106581925,0.96089767765329,performanz,1.4638106581925,0.2446208173807,1,0.0,2.5538728995806,2.6863788063898,3.4913685710866,1.2583909272345,0.44279313556423,0.88087364906417,vor_abwesenheit,0,0,-724
alle_lehrkraefte,584,1698,2024-01-22,41,0,1,9,4,0.57238605652408,0.0,0.17610549762539,0.27769644826499,0.37209053273353,0.606990362491,0.23947100375361,1.0686513314124,0.0,0.32879098357022,0.51846245341654,0.69469729159086,1.1332579674803,0.4470951101605,performanz,1.1332579674803,0.27040565462148,1,0.0,1.8670014675784,1.8670014675784,1.8670014675784,0.0,1.0,0.0,vor_abwesenheit,0,0,-717
alle_lehrkraefte,583,1697,2024-01-24,38,4,1,9,4,0.78127282049294,0.0,0.089240397745375,0.11312483161997,0.48901700203676,0.26965918858486,0.23872476651964,1.8418775975492,0.0,0.21038731297459,0.26669568890913,1.1528744341879,0.63573082974315,0.56280186370141,kognition,1.8418775975492,0.39437528374378,1,0.0,2.3575244607369,2.3575244607369,2.3575244607369,0.0,1.0,0.0,vor_abwesenheit,1,0,-715
alle_lehrkraefte,582,1694,2024-02-05,37,0,2,18,6,0.35650069958735,0.0,0.2877271880223,0.55694845318942,0.31456150081335,0.42706670495099,0.42593284991089,1.1493600730049,0.0,0.80909660692186,1.58127494453,1.01202098867,1.295847957376,1.2634300823122,motivation,1.58127494453,0.22236930506044,1,0.0,2.9623909819577,2.9798459942807,3.8869384435952,1.1522784847338,0.46462388909847,0.80659493931369,vor_abwesenheit,0,0,-703
alle_lehrkraefte,581,1693,2024-02-12,37,0,1,1,1,0.34036261745856,0.0,0.0,0.39205477040592,0.32290812425556,0.41890783687208,0.67132666165397,0.507,0.0,0.0,0.584,0.481,0.624,1.0,regulation,1.0,0.31289111389237,1,0.0,1.4895777925305,1.4895777925305,1.4895777925305,0.0,1.0,0.0,vor_abwesenheit,0,0,-696
alle_lehrkraefte,580,1692,2024-02-26,37,0,3,32,11,-0.10217555541254,0.0,-0.028458419909197,-0.10844689598431,-0.056200421527653,-0.065092680644764,-0.029545013618665,-1.4337347658496,0.0,-0.35503560207559,-0.76715658083064,-0.89901599895863,-0.88720369494064,-0.35652600122673,kognition,-1.4337347658496,0.27478207831687,-1,0.77777777777778,2.1195862401208,3.6223265445239,5.0371377976649,3.3195905847821,0.23150342153328,2.5570467426808,vor_abwesenheit,0,0,-682
alle_lehrkraefte,579,1690,2024-03-04,37,0,1,31,10,0.51895054923805,0.086324079939407,0.19096321226075,0.40749175625108,0.42947313942885,0.50013849904149,0.2934826622711,2.4524754450753,0.40795348743912,0.90246091784625,1.9257394134059,2.0296198362544,2.3635727716966,1.3869510762287,kognition,2.4524754450753,0.21383939295044,1,0.0,4.7258264957434,4.7258264957434,4.7258264957434,0.0,1.0,0.0,vor_abwesenheit,0,0,-675
alle_lehrkraefte,578,1688,2024-03-11,37,0,2,6,4,0.53371933300841,0.0,0.19296913997681,0.25954178906149,0.36670341738983,0.59881941218908,0.23115631358847,0.95493414930517,0.0,0.35213766304563,0.45171589055593,0.65113222313567,1.0693425963986,0.38431257509789,performanz,1.0693425963986,0.27677541380774,1,0.0,1.7190434330992,1.7689540173543,1.8248292623191,0.32463501354241,0.75492493386971,0.22724450947968,vor_abwesenheit,0,0,-668
alle_lehrkraefte,577,1684,2024-03-25,37,0,3,44,13,0.39507065639278,0.14776584136883,0.27867312771465,0.4271139887165,0.35516787456466,0.43672128086278,0.37627511830574,1.6313262442948,0.50485446047011,1.0063903070012,1.6446122602353,1.4588717264752,1.7243982440719,1.491479263705,performanz,1.7243982440719,0.18224588295596,1,0.0,3.7363137837517,3.9388351860081,4.7867734246739,1.3832435508431,0.41959622617933,0.96827048559019,vor_abwesenheit,0,0,-654
alle_lehrkraefte,576,1683,2024-03-27,34,4,1,8,4,-0.35605660506409,0.0,-0.077136787333241,-0.48141521319846,-0.37647004036987,-0.44880792539875,-0.54069484982695,-1.856052333955,0.0,-0.40209874533259,-2.5095218494756,-1.9624635160661,-2.3395465372252,-2.81853481639,regulation,-2.81853481639,0.2370864047224,-1,0.0,5.212791300571,5.212791300571,5.212791300571,0.0,1.0,0.0,vor_abwesenheit,1,0,-652
alle_lehrkraefte,575,1681,2024-04-08,37,0,2,13,5,0.26700882428325,0.0,-0.44434756836405,-0.13896347319849,0.058376462711086,-0.69218015431008,0.25684733714859,0.17157642010388,0.0,-0.24461538461538,-0.048179106266255,0.055462480205909,-0.35078764981242,0.18989037983382,performanz,-0.35078764981242,0.35847469368954,-1,0.083333333333333,0.50376859661133,0.62273177744797,1.4895777925305,0.2363212549396,0.80885125609917,0.19042487845772,vor_abwesenheit,0,0,-640
alle_lehrkraefte,574,1675,2024-04-22,36,0,1,1,1,0.0,0.5012089587606,0.47283864034019,0.63045152045358,0.0,0.31459530870634,0.16959145900201,0.0,0.795,0.75,1.0,0.0,0.499,0.269,motivation,1.0,0.30184123151222,1,0.0,1.5861547843764,1.5861547843764,1.5861547843764,0.0,1.0,0.0,vor_abwesenheit,0,0,-626
alle_lehrkraefte,573,1674,2024-04-24,34,4,1,8,4,-0.16867831478272,-0.81285587024399,0.083483899050667,-0.06009307623638,0.010713704455792,-0.54455177540727,0.05970380646146,-0.20751319016997,-1.0,0.10270443027693,-0.073928329038631,0.013180324886595,-0.66992414687712,0.073449437528869,sozial,-1.0,0.46713694864762,-1,0.0,1.2302203970565,1.2302203970565,1.2302203970565,0.0,1.0,0.0,vor_abwesenheit,1,0,-624
alle_lehrkraefte,572,1673,2024-04-29,36,0,1,1,1,0.0,0.5012089587606,0.47283864034019,0.63045152045358,0.0,0.31459530870634,0.16959145900201,0.0,0.795,0.75,1.0,0.0,0.499,0.269,motivation,1.0,0.30184123151222,1,0.0,1.5861547843764,1.5861547843764,1.5861547843764,0.0,1.0,0.0,vor_abwesenheit,0,0,-619
alle_lehrkraefte,571,1671,2024-05-06,15,0,1,15,5,0.60341350675241,0.0,0.0059282270377111,0.31716454380552,0.41642403669944,0.40921791013839,0.44089598723975,1.9783168311471,0.0,0.019435944333903,1.0398374385594,1.365263905229,1.3416383129883,1.4454962353031,kognition,1.9783168311471,0.27514881074468,1,0.0,3.2785325069361,3.2785325069361,3.2785325069361,0.0,1.0,0.0,vor_abwesenheit,0,0,-612
alle_lehrkraefte,570,1668,2024-05-15,34,4,1,7,4,0.43345662134782,0.0,-0.085553111376179,0.389902896385,0.51034943113439,0.30122821000112,0.54915356942428,1.2150532376695,0.0,-0.23982004161591,1.0929646781175,1.4305969688834,0.84439432647532,1.5393716225443,regulation,1.5393716225443,0.24195583457906,1,0.0,2.8031614774395,2.8031614774395,2.8031614774395,0.0,1.0,0.0,vor_abwesenheit,1,0,-603
alle_lehrkraefte,569,1665,2024-05-27,10,0,1,1,1,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0,0.811,0.0,0.177,0.0,0.481,0.25,0.0,kognition,0.811,0.4717859220477,1,0.0,0.99141868047763,0.99141868047763,0.99141868047763,0.0,1.0,0.0,vor_abwesenheit,0,0,-591
alle_lehrkraefte,568,1662,2024-06-03,15,0,1,11,4,0.77642166805509,-0.1337304753181,0.10644666458071,-0.14754143120737,0.44451910611943,0.1873785750225,-0.33685258266524,1.8143851256501,-0.31250877615392,0.24875045717632,-0.34478298225546,1.0387768494801,0.43787662474435,-0.78717575857412,kognition,1.8143851256501,0.36402321965169,1,0.0,2.3368453458781,2.3368453458781,2.3368453458781,5.5511151231258e-17,1.0,3.885780586188e-17,vor_abwesenheit,0,0,-584
alle_lehrkraefte,567,1659,2024-06-12,10,4,1,15,6,0.41897409606202,0.072339535955437,0.19516376730468,0.44800908337844,0.39923573217794,0.44608341878051,0.47121378816041,1.8047548060348,0.31160667546993,0.84067905466605,1.9298246692913,1.7197306782478,1.9215297592465,2.0297802581248,regulation,2.0297802581248,0.19225216412631,1,0.0,4.3075470136625,4.3075470136624,4.3075470136624,0.0,1.0,0.0,vor_abwesenheit,1,0,-575
alle_lehrkraefte,566,1658,2024-06-17,15,0,1,18,6,0.47621108036271,0.0,0.097078776355813,0.38259686909374,0.42584589207321,0.49408232347252,0.43812303798767,2.1205903967234,0.0,0.43229636888961,1.7037218995381,1.8963118382856,2.2001718850149,1.9509825479749,performanz,2.2001718850149,0.21352444528882,1,0.0,4.453037155283,4.453037155283,4.453037155283,2.2204460492503e-16,1.0,1.5543122344752e-16,vor_abwesenheit,0,0,-570
alle_lehrkraefte,63,310,2024-08-05,15,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kognition,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,vor_abwesenheit,0,0,-521
alle_lehrkraefte,565,1652,2024-08-14,10,4,1,1,1,0.34036261745856,0.0,0.0,0.39205477040592,0.32290812425556,0.41890783687208,0.67132666165397,0.507,0.0,0.0,0.584,0.481,0.624,1.0,regulation,1.0,0.31289111389237,1,0.0,1.4895777925305,1.4895777925305,1.4895777925305,0.0,1.0,0.0,vor_abwesenheit,1,0,-512
alle_lehrkraefte,564,1649,2024-08-28,10,4,1,1,1,0.34036261745856,0.0,0.0,0.39205477040592,0.32290812425556,0.41890783687208,0.67132666165397,0.507,0.0,0.0,0.584,0.481,0.624,1.0,regulation,1.0,0.31289111389237,1,0.0,1.4895777925305,1.4895777925305,1.4895777925305,0.0,1.0,0.0,vor_abwesenheit,1,0,-498
