perspektive,gruppe_id,zeitphase,dominante_dimension,n
lehrkraft_1_thiele,3,nach_rueckkehr,regulation,1
lehrkraft_1_thiele,3,vor_abwesenheit,kognition,43
lehrkraft_1_thiele,3,vor_abwesenheit,performanz,7
lehrkraft_1_thiele,3,vor_abwesenheit,motivation,5
lehrkraft_1_thiele,4,vor_abwesenheit,kognition,56
lehrkraft_1_thiele,4,vor_abwesenheit,performanz,10
lehrkraft_1_thiele,4,vor_abwesenheit,motivation,1
lehrkraft_1_thiele,5,vor_abwesenheit,kognition,24
lehrkraft_1_thiele,5,vor_abwesenheit,performanz,10
lehrkraft_1_thiele,5,vor_abwesenheit,methodik,1
lehrkraft_1_thiele,5,vor_abwesenheit,motivation,1
lehrkraft_1_thiele,6,nach_rueckkehr,kognition,5
lehrkraft_1_thiele,6,nach_rueckkehr,performanz,2
lehrkraft_1_thiele,6,vor_abwesenheit,kognition,37
lehrkraft_1_thiele,6,vor_abwesenheit,performanz,8
lehrkraft_1_thiele,6,vor_abwesenheit,regulation,2
lehrkraft_1_thiele,6,vor_abwesenheit,motivation,1
lehrkraft_1_thiele,7,nach_rueckkehr,kognition,3
lehrkraft_1_thiele,7,nach_rueckkehr,performanz,1
lehrkraft_1_thiele,7,vor_abwesenheit,kognition,26
lehrkraft_1_thiele,7,vor_abwesenheit,performanz,7
lehrkraft_1_thiele,7,vor_abwesenheit,regulation,4
lehrkraft_1_thiele,7,vor_abwesenheit,motivation,3
lehrkraft_1_thiele,11,vor_abwesenheit,kognition,1
ohne_lehrkraft_1,0,abwesenheit_vertretung,kognition,7
ohne_lehrkraft_1,0,abwesenheit_vertretung,performanz,5
ohne_lehrkraft_1,0,abwesenheit_vertretung,regulation,3
ohne_lehrkraft_1,0,nach_rueckkehr,kognition,15
ohne_lehrkraft_1,0,nach_rueckkehr,performanz,4
ohne_lehrkraft_1,0,vor_abwesenheit,kognition,59
ohne_lehrkraft_1,0,vor_abwesenheit,performanz,23
ohne_lehrkraft_1,0,vor_abwesenheit,regulation,10
ohne_lehrkraft_1,0,vor_abwesenheit,motivation,7
ohne_lehrkraft_1,0,vor_abwesenheit,methodik,1
ohne_lehrkraft_1,0,vor_abwesenheit,sozial,1
ohne_lehrkraft_1,1,abwesenheit_vertretung,kognition,3
ohne_lehrkraft_1,1,nach_rueckkehr,kognition,4
ohne_lehrkraft_1,1,nach_rueckkehr,methodik,1
ohne_lehrkraft_1,1,nach_rueckkehr,regulation,1
ohne_lehrkraft_1,1,vor_abwesenheit,kognition,3
ohne_lehrkraft_1,2,abwesenheit_vertretung,kognition,6
ohne_lehrkraft_1,2,abwesenheit_vertretung,performanz,2
ohne_lehrkraft_1,2,abwesenheit_vertretung,regulation,2
ohne_lehrkraft_1,2,nach_rueckkehr,kognition,4
ohne_lehrkraft_1,2,nach_rueckkehr,performanz,4
ohne_lehrkraft_1,2,vor_abwesenheit,kognition,2
ohne_lehrkraft_1,3,abwesenheit_vertretung,performanz,3
ohne_lehrkraft_1,3,abwesenheit_vertretung,kognition,2
ohne_lehrkraft_1,3,nach_rueckkehr,kognition,6
ohne_lehrkraft_1,3,nach_rueckkehr,regulation,1
ohne_lehrkraft_1,3,vor_abwesenheit,performanz,3
ohne_lehrkraft_1,3,vor_abwesenheit,regulation,2
ohne_lehrkraft_1,3,vor_abwesenheit,kognition,1
ohne_lehrkraft_1,3,vor_abwesenheit,motivation,1
ohne_lehrkraft_1,4,abwesenheit_vertretung,kognition,5
ohne_lehrkraft_1,4,abwesenheit_vertretung,performanz,4
ohne_lehrkraft_1,4,nach_rueckkehr,performanz,6
ohne_lehrkraft_1,4,nach_rueckkehr,kognition,5
ohne_lehrkraft_1,4,vor_abwesenheit,motivation,6
ohne_lehrkraft_1,4,vor_abwesenheit,regulation,6
ohne_lehrkraft_1,4,vor_abwesenheit,kognition,5
ohne_lehrkraft_1,4,vor_abwesenheit,performanz,3
ohne_lehrkraft_1,4,vor_abwesenheit,sozial,1
ohne_lehrkraft_1,5,abwesenheit_vertretung,kognition,3
ohne_lehrkraft_1,5,abwesenheit_vertretung,regulation,1
ohne_lehrkraft_1,5,nach_rueckkehr,performanz,4
ohne_lehrkraft_1,5,nach_rueckkehr,kognition,3
ohne_lehrkraft_1,5,nach_rueckkehr,regulation,1
ohne_lehrkraft_1,5,vor_abwesenheit,kognition,3
ohne_lehrkraft_1,5,vor_abwesenheit,performanz,1
ohne_lehrkraft_1,5,vor_abwesenheit,regulation,1
ohne_lehrkraft_1,6,abwesenheit_vertretung,performanz,5
ohne_lehrkraft_1,6,abwesenheit_vertretung,kognition,3
ohne_lehrkraft_1,6,nach_rueckkehr,performanz,2
ohne_lehrkraft_1,6,nach_rueckkehr,kognition,1
ohne_lehrkraft_1,6,vor_abwesenheit,kognition,11
ohne_lehrkraft_1,7,abwesenheit_vertretung,kognition,2
ohne_lehrkraft_1,7,abwesenheit_vertretung,performanz,2
ohne_lehrkraft_1,7,nach_rueckkehr,performanz,2
ohne_lehrkraft_1,7,nach_rueckkehr,kognition,1
ohne_lehrkraft_1,7,nach_rueckkehr,regulation,1
ohne_lehrkraft_1,7,vor_abwesenheit,motivation,1
ohne_lehrkraft_1,7,vor_abwesenheit,performanz,1
ohne_lehrkraft_1,7,vor_abwesenheit,sozial,1
ohne_lehrkraft_1,11,abwesenheit_vertretung,kognition,1
ohne_lehrkraft_1,11,abwesenheit_vertretung,performanz,1
ohne_lehrkraft_1,11,nach_rueckkehr,kognition,3
ohne_lehrkraft_1,11,vor_abwesenheit,kognition,2
ohne_lehrkraft_1,11,vor_abwesenheit,performanz,2
